PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Barrios-Calderon, Romeo de Jesus; Infante Mata, Dulce; Flores Garnica, Jose German; Torres, Jony R.								Forest Fuel Bed Variation in Tropical Coastal Freshwater Forested Wetlands Disturbed by Fire								FORESTS				15	1					158	10.3390/f15010158			JAN 2024	2024	Tropical coastal freshwater forested wetlands in coastal regions are rapidly disappearing as a result of various disturbance agents, mainly wildfires caused by high accumulations of forest fuels. The objective of this study was to characterize the structure and composition of fuel beds in tropical coastal freshwater forested wetlands with three levels of disturbance at El Casta & ntilde;o, La Encrucijada Biosphere Reserve. Seventeen sampling units were used to describe the structure of the forest's fuel beds (canopy, sub-canopy, and understory). Fallen woody material and litter (surface and fermented) were characterized using the planar intersection technique. Diversity comprised eight species of trees, two shrubs, five lianas, and two herbaceous species. The vertical strata were dominated by trees between 2 and 22 m in height. The horizontal structure had a higher percentage of trees with normal diameter between 2.5 and 7.5 cm (61.4%) of the total. Sites with low disturbance had the highest arboreal density (2686 ind. ha(-1)). Diversity of species showed that the Fisher, Margalef, Shannon, and Simpson alpha indices were higher in the low disturbance sites. The Berger-Parker index exhibited greater dominance in the sites with high disturbance. Pachira aquatica Aubl. Showed the highest importance value index and was the largest contributor to fuel beds. Sites with the highest disturbance had the highest dead fuel load (222.18 +/- 33.62 Mg ha(-1)), with woody fuels of classes 1, 10, and 1000 h (rotten) being the most representative. This study contributes to defining areas prone to fire in these ecosystems and designing prevention strategies.		[Barrios-Calderon, Romeo de Jesus] Autonomous Univ Chiapas, Fac Agr Sci, Junct Coastal Rd and Huehuetan Station, Tuxtla Gutierrez 30470, Chiapas, Mexico; [Infante Mata, Dulce] El Colegio Frontera Sur, Unit Tapachula, Sustainable Management Basins & Coast Zones, Km 2-5, Tapachula 30700, Chiapas, Mexico; [Flores Garnica, Jose German] Natl Inst Forestry Agr & Livestock Res INIFAP, Pacific Reg Res Ctr, Expt Field Ctr Altos Jalisco, Colomos Pk s-n, Guadalajara 44660, Jalisco, Mexico; [Torres, Jony R.] Natl Technol Inst Mexico, Acad Biol, Coastal Zone Ecol Lab, IT Valle Yaqui, Ave Tecnol Block 611, Bacum 85276, Sonora, Mexico; [Barrios-Calderon, Romeo de Jesus] Autonomous Univ Chiapas, Fac Agr Sci, Junct Coastal Rd and Huehuetan Station, Tuxtla Gutierrez 30470, Chiapas, Mexico; [Infante Mata, Dulce] El Colegio Frontera Sur, Unit Tapachula, Sustainable Management Basins & Coast Zones, Km 2-5, Tapachula 30700, Chiapas, Mexico								0							Forestry	WOS:001151959400001		
J	Rofael, Sylvia; Babe, Clara Leboreiro; Davrandi, Mehmet; Kondratiuk, Alexandra L.; Cleaver, Leanne; Ahmed, Naseem; Atkinson, Claire; Mchugh, Timothy; Lowe, David M.								Antibiotic resistance, bacterial transmission and improved prediction of bacterial infection in patients with antibody deficiency								JAC-ANTIMICROBIAL RESISTANCE				5	6					dlad135	10.1093/jacamr/dlad135			NOV 1 2023	2023	Background Antibody-deficient patients are at high risk of respiratory tract infections. Many therefore receive antibiotic prophylaxis and have access to antibiotics for self-administration in the event of breakthrough infections, which may increase antimicrobial resistance (AMR).Objectives To understand AMR in the respiratory tract of patients with antibody deficiency.Methods Sputum samples were collected from antibody-deficient patients in a cross-sectional and prospective study; bacteriology culture, 16S rRNA profiling and PCR detecting macrolide resistance genes were performed. Bacterial isolates were identified using MALDI-TOF, antimicrobial susceptibility was determined by disc diffusion and WGS of selected isolates was done using Illumina NextSeq with analysis for resistome and potential cross-transmission. Neutrophil elastase was measured by a ProteaseTag immunoassay.Results Three hundred and forty-three bacterial isolates from sputum of 43 patients were tested. Macrolide and tetracycline resistance were common (82% and 35% of isolates). erm(B) and mef(A) were the most frequent determinants of macrolide resistance. WGS revealed viridans streptococci as the source of AMR genes, of which 23% also carried conjugative plasmids linked with AMR genes and other mobile genetic elements. Phylogenetic analysis of Haemophilus influenzae isolates suggested possible transmission between patients attending clinic. In the prospective study, a negative correlation between sputum neutrophil elastase concentration and Shannon entropy alpha-diversity (Spearman's rho = -0.306, P = 0.005) and a positive relationship with Berger-Parker dominance index (rho = 0.502, P < 0.001) were found. Similar relationships were noted for the change in elastase concentration between consecutive samples, increases in elastase associating with reduced alpha-diversity.Results Three hundred and forty-three bacterial isolates from sputum of 43 patients were tested. Macrolide and tetracycline resistance were common (82% and 35% of isolates). erm(B) and mef(A) were the most frequent determinants of macrolide resistance. WGS revealed viridans streptococci as the source of AMR genes, of which 23% also carried conjugative plasmids linked with AMR genes and other mobile genetic elements. Phylogenetic analysis of Haemophilus influenzae isolates suggested possible transmission between patients attending clinic. In the prospective study, a negative correlation between sputum neutrophil elastase concentration and Shannon entropy alpha-diversity (Spearman's rho = -0.306, P = 0.005) and a positive relationship with Berger-Parker dominance index (rho = 0.502, P < 0.001) were found. Similar relationships were noted for the change in elastase concentration between consecutive samples, increases in elastase associating with reduced alpha-diversity.Conclusions Measures to limit antibiotic usage and spread of AMR should be implemented in immunodeficiency clinics. Sputum neutrophil elastase may be a useful marker to guide use of antibiotics for respiratory infection.		[Rofael, Sylvia; Davrandi, Mehmet; Ahmed, Naseem; Mchugh, Timothy] UCL, Ctr Clin Microbiol, Royal Free Campus,Pond St, London, England; [Rofael, Sylvia] Univ Alexandria, Fac Pharm, Alexandria, Egypt; [Kondratiuk, Alexandra L.; Atkinson, Claire; Lowe, David M.] UCL, Inst Immun & Transplantat, Div Infect & Immun, Pears Bldg,Rowland Hill St, London, England; [Cleaver, Leanne] Kings Coll London, Ctr Host Microbiome Interact, Fac Dent Oral & Craniofacial Sci, Guys Campus, London, England; [Atkinson, Claire] London South Bank Univ, Sch Appl Sci, Div Human Sci, Canc Biol & Therapy Res Grp, London, England; [Lowe, David M.] Royal Free London NHS Fdn Trust, Dept Clin Immunol, Pond St, London, England; [Lowe, David M.] UCL, Inst Immun & Transplantat, Div Infect & Immun, Pears Bldg,Rowland Hill St, London, England; [Lowe, David M.] Royal Free London NHS Fdn Trust, Dept Clin Immunol, Pond St, London, England								0							Infectious Diseases; Microbiology; Pharmacology & Pharmacy	WOS:001125361300001		
J	Abdel-hameed, Usama K.; Obaid, Wael A.; Boutraa, Tahar								PHYTODIVERSITY IN RELATION TO ECOVARIABILITY OF THAWR AND EIR MOUNTAINS, AL-MADINAH AL-MUNAWARAH, SAUDI ARABIA								PAKISTAN JOURNAL OF BOTANY				55	4			1483	1495		10.30848/PJB2023-4(30)			AUG 2023	2023	Thawr and Eir mountains are two of the main important and historical mountains in the region of Al-Madinah Al-Munawarah. However, floristic studies on these mountains have not been conducted. In this study, human activities and their impacts on the species diversity and soil characteristics of these mountains were considered. The current study aims to investigate: plant species distribution, species richness, life forms of plant species and the impact of soil composition on these parameters across the scanned mountains. A total of 48 species belonging to 44 genera and 23 families are recorded. The largest represented families were Fabaceae and Asteraceae. The spectrum of life-form showed that the most frequent life form was Therophyte. The major chorotypes distribution in the two studied mountains was investigated. Using of A Two-Way Indicator Species (TWINSPAN) technique on the relative importance values (IV) of the recorded species in 20 sampled stands distinguished six vegetation groups: two were representing Thawr mountain communities and four were representing Eir mountain communities, which was visualized through Detrended Correspondence Analysis (DCA). A Canonical Correspondence Analysis (CCA) was applied on the six TWINSPAN groups to explore the correlations between the generated vegetation groups and the different environmental parameters; stands of Eir mountain were highly correlated with elevation, longitude, latitude and pH while Thawr mountain stands showed a correlation with Ca++, TDS, EC, Carbonate, Nitrate and Mg++. It was found that Eir mountain gained the highest species richness and dominance according to the Berger-Parker formula while evenness, abundance and diversity reached their maximum values at Thawr mountain. It is concluded that human impacts may have a negative effect on species abundance, evenness and diversity at Eir mountain as compared with those of Thawr mountain. So authors recommend planning an ecological restoration strategy to maintain the diversity level at Eir mountain.		[Abdel-hameed, Usama K.; Obaid, Wael A.; Boutraa, Tahar] Taibah Univ, Coll Sci, Biol Dept, Al Madinah Al Munawwarah, Saudi Arabia; [Abdel-hameed, Usama K.] Ain Shams Univ, Fac Sci, Bot Dept, Cairo, Egypt; [Abdel-hameed, Usama K.] Taibah Univ, Coll Sci, Biol Dept, Al Madinah Al Munawwarah, Saudi Arabia; [Abdel-hameed, Usama K.] Ain Shams Univ, Fac Sci, Bot Dept, Cairo, Egypt								1							Plant Sciences	WOS:000972097200029		
J	Jacome, Linda; Liria, Jonathan; Wilkerson, Richard C.								Species diversity and spatial distribution of mosquitoes (Diptera: Culicidae) from La Isla Amazon Park, Napo Province, Ecuador								REVISTA DE BIOLOGIA TROPICAL				71						e55184	10.15517/rev.biol.trop..v71i1.55184			JAN-DEC 2023	2023	Introduction: Vector-borne diseases are prevalent in the Amazon and Coastal regions of Ecuador. However, there is a scarcity of mosquito ecology studies in these areas. The most recent list of species reported for the country comprises 8 tribes, 22 genera, and 200 species. Objectives: To document the Culicidae species found in La Isla Amazon Park, Napo, Ecuador, including those with epidemiological significance; and to analyze their composition, abundance, and diversity, focusing on larval habitats during the dry and rainy periods. Methods: We evaluated different larval habitats, considering collection duration as the primary criterion. We used CDC and Shannon traps to collect adult mosquitoes during both rainy and dry periods. To assess sampling effort, we used accumulation curves and non-parametric estimators of species richness, while we employed Hill numbers to determine diversity. Additionally, we used the Berger-Parker and Pielou indices to evaluate species dominance and evenness. We conducted cluster analysis and ANOSIM tests to assess the similarity between habitats and the differences in taxonomic composition between periods. Results: We collected a total of 802 individuals from 15 species and 4 taxonomic units, 5 genera, and 4 tribes. Notably, this may be the first records of Wyeomyia felicia Dyar & Nunez Tovar and Culex derivator Dyar & Knab from Ecuador. Additionally, the presence of Culex dunni Dyar and Psorophora ferox von Humboldt (both recog-nized as vectors) was correlated with increased rainfall. Conclusions: The abundance of mosquitoes, including potential vector species, increased during the rainy sea-son, indicating a higher risk of pathogen transmission. However, the relationship between rainfall amount and diversity patterns is not well-defined.		[Jacome, Linda] Univ Reg Amazon Ikiam, Fac Ciencias Vida, Ingn Ecosistemas, Napo, Ecuador; [Liria, Jonathan] Univ Reg Amazon Ikiam, Grp Invest Poblac & Ambiente, Napo, Ecuador; [Wilkerson, Richard C.] Smithsonian Inst, Natl Museum Nat Hist, Dept Entomol, Washington, DC USA; [Jacome, Linda] Univ Reg Amazon Ikiam, Fac Ciencias Vida, Ingn Ecosistemas, Napo, Ecuador								0							Biology	WOS:001094177100002		
J	Sgarbi, Carolina; Margaria, Cecilia Beatriz; Ricci, Elisabet Monica								Effect of Chlorantraniliprole on Beneficial Fauna Associated with Soybean Cultivation								REVISTA CORPOICA-CIENCIA Y TECNOLOGIA AGROPECUARIA				24	2					e2802	10.21930/rcta.vol24_num2_art:2802			2023	2023	Using insecticides on soybean (Glycine max, L.) may induce lethal and sublethal effects on beneficial fauna associated with soybean cultivation. In Argentina, the application of pesticides in extensive and intensive crops for weed and insect control has increased by more than 400 % over the last 20 years. This study aimed to determine the effect of chlorantraniliprole applied under field conditions on predators and parasitoids associated with Rachiplusia nu (Guenee) (Lepidoptera: Noctuidae). Phytophagous and predatory organisms were recorded in chlorantraniliprole-treated and untreated field plots during the 2014-2015 crop season. R. nu larvae were collected, individually placed in Petri dishes, and reared in a conditioned growth chamber until adult Lepidoptera or parasitoids appeared. Data were analyzed with the generalized linear mixed model. In untreated plots, the parasitoid Copidosoma sp. reduced the R. nu population growth curve below the economic injury level. In chlorantraniliprole-treated fields, differences before and after application were significant (p > 0.05), indicating that the insecticide affected predators (Araneidae, Syrphidae, Hemiptera) and parasitoids (Hymenoptera). Additionally, the Berger-Parker dominance index showed parasitoids were more sensitive to chlorantraniliprole than predators. Future research on selective insecticides with other action modes would be needed to evaluate sublethal effects on natural enemies.		[Sgarbi, Carolina] Univ Nacl Noroeste Prov Buenos Aires, Junin, Argentina; [Margaria, Cecilia Beatriz; Ricci, Elisabet Monica] Univ Nacl La Plata, La Plata, Argentina; [Sgarbi, Carolina] Univ Nacl Noroeste Prov Buenos Aires, Lab Invest Zool Agr LIZoA, Ave Libertad 555,B6000, Junin, Buenos Aires, Argentina								0							Agriculture, Multidisciplinary	WOS:001018474700003		
J	Lebron-Liriano, Berleni V.; Arias, Angela Guerrero								Diversity and floristic composition of the dry and semideciduous forest of the Reserva Forestal Guanito, San Juan province, Dominican Republic								ACTA BOTANICA MEXICANA				130						e2093	10.21829/abm130.2023.2093			2023	2023	Background and Aims: The flora of the dry forest of Cerros del Tabacal and the semi-deciduous forest of Loma del Agua of the Reserva Forestal Guani-to in the Cordillera Central of the Dominican Republic, is presented. There are few species records of this reserve. Hence, the main objective was to inventory the vascular flora of both hills; the specific objectives, to determine the diversity and richness of species in the Reserva Forestal Guanito, to document their biogeographic distribution, conservation status and life forms, and to register the floristic composition variation.Methods: Three plots of 10 x 10 m and two transects of 60 x 2 m were made on each hill, based on the species expression minimum area, and they were located in the areas with dense plant cover. The Shannon diversity index, Berger-Parker dominance index and Jaccard similarity coefficient were calculated.Key results: In the dry forest 81 species were recorded, distributed in 72 genera and 31 families; in the semi-deciduous forest, 110 species belonging to 96 genera and 50 families were registered. Fabaceae was the richest family in genera number on both hills (eight and nine, respectively), and Tillandsia the richest genus in species number (six and five, respectively). Tillandsia recurvata stands out with the highest abundance of individuals (173 individuals) in the dry forest, and Savia sessiliflora (39) in the semi-deciduous forest. The Shannon index showed that the semi-deciduous forest has more diversity than the dry forest, and the results of the Jaccard coefficient indicated that both hills have a highly differentiated floristic compo-sition.Conclusions: This study reaffirms the importance and floristic richness of the forests of the Domincan Republic and at the same time constitutes the first floristic inventory for the Reserva Forestal Guanito.		[Lebron-Liriano, Berleni V.] Univ Nacl Pedro Henriquez Urena, Herbario HUNPHU, Ave John F Kennedy km 7-5, Santo Domingo, Dominican Rep; [Arias, Angela Guerrero] Univ Autonoma Santo Domingo, Escuela Biol, Fac Ciencias, Ave Alma Mater, Santo Domingo, Dominican Rep; [Lebron-Liriano, Berleni V.] Univ Nacl Pedro Henriquez Urena, Herbario HUNPHU, Ave John F Kennedy km 7-5, Santo Domingo, Dominican Rep								0							Plant Sciences	WOS:000926135100001		
J	Achiri, Tange Denis; Atakan, Ekrem; Pehlivan, Serkan								Invasive maize spotted stem borer <i>Chilo partellus</i> Swinhoe 1885 (Lepidoptera: Crambidae) is the dominant pest in maize agro-system in the Mediterranean Region of Turkey								JOURNAL OF ASIA-PACIFIC ENTOMOLOGY				25	4					101972	10.1016/j.aspen.2022.101972			DEC 2022	2022	The maize spotted stem borer Chilo partellus Swinhoe 1885 (Lepidoptera: Crambidae) was recorded for the first time in Turkey in 2014. This pest is described as invasive, especially in the current climate change dispensation. It is important to investigate the population dynamics of C. partellus for better management practices. We studied the species abundance distribution (SAD) models and some biodiversity indices of three major stem bores, C. partellus, Ostrinia nubilalis and Sesamia nonagrioides as these are the most common and major stem borers of maize in the Mediterranean Region. With the help of light traps, weekly catches of the three major maize stem borers were collected during two maize growing seasons (first cropping and second cropping seasons) in 2018 and 2019. The results showed that C. partellus emerged earlier (April-May) and was very dominant throughout the first cropping season of maize. Ostrinia nubilalis and S. nonagrioides emerged late in June-July, and its population remained low throughout the first cropping season. The population structure of all three stem borers was similar throughout the second cropping season of maize. The relative abundance (RA) of C. partellus was significantly higher than that of O. nubilalis and S. nonagrioides in the first cropping (p <.0001) when compared to the second cropping season (p >.05) for both years. In the first cropping season for both years, no SAD model fitted the observed species distribution, although Fisher's log series was relatively similar. In the second cropping for both years, the geometric series distribution model fitted the observed SAD. The Berger-Parker dominance index was greater for the first cropping season than that of the second, whereas the opposite was true for the Simpson's evenness and evenness of Pielou. High RA of C. partellus and the geometric series distribution observed in the second cropping are indicative of a possible dominant status of the C. partellus in the Mediterranean Region of Turkey. Our findings indicated that seasonality is a fundamental driving factor influencing the distribution of the three major stem borers of maize in the Mediterranean Region. In addition, the long and warmer winters could be the reason for the dominance of C. partellus as indicated by the diversity indices.		[Achiri, Tange Denis; Atakan, Ekrem; Pehlivan, Serkan] Cukurova Univ, Dept Plant Protect, TR-01330 Adana, Turkey; [Pehlivan, Serkan] Cukurova Univ, Dept Plant Protect, TR-01330 Adana, Turkey								0							Entomology	WOS:000846933000003		
J	Hasnoramri, Hasya Shazwani; Yue, Lau Hor; Ahmad, A. K.								Diversity of Benthic Macroinvertebrates in Sungai Jeriau, Bukit Fraser, Pahang, Malaysia								SAINS MALAYSIANA				51	8			2365	2375		10.17576/jsm-2022-5108-03			AUG 2022	2022	Sungai Jeriau is a pristine river and is not significantly affected by anthropogenic activities. This river is therefore predicted to have good water quality and support high aquatic diversity. A study was undertaken to determine the water quality status and benthic macroinvertebrate diversity as well as to identify potential benthic macroinvertebrates as biological indicators of highland ecosystems. Sampling was undertaken in April of 2020 and nine sampling stations were sampled to represent Sg. Jeriau and one of its tributaries. Benthic macroinvertebrates were sampled using a Surber sampler and in-situ measurements were undertaken for water conductivity, dissolved solids, pH, river velocity, river water temperature and dissolved oxygen using YSI 885 meter. In regard to the National Water Quality Standard (NWQS), Sg. Jeriau is in good shape and classified as Class I based on every parameter. A Kurskal-Wallis test demonstrated that the majority of water quality values between stations differ significantly (p<0.05, alpha=0.05) except water temperature, which was constant between stations. A total of 3085 benthic macroinvertebrates that consists of 1 phylum, 2 classes, 8 orders and 52 families were recorded. The studied river was dominated by Elmidae and Scirtidae (Order: Coleoptera), Baetidae and Heptangeniidae (order: Ephemeroptera), Hydropsychidae and Perlidae (order: Trichoptera) followed by Tipulidae, Chironomidae and Simulidae (order: Diptera). Shannon diversity index average was 2.56 +/- 0.17. Pielou evenness index (0.76 +/- 0.09), Margalef richness index (4.99 +/- 1.72) and reciprocal Berger-Parker index (4.54 +/- 1.51) indicated that the ecosystem was between fair to good quality. The Shannon diversity value was slightly low due to a high dominance by the above-mentioned families as well as calculations made at the family level. Benthic invertebrates exhibited high variation (70%) and CCA analysis demonstrated that conductivity, water temperature and dissolved oxygen had significant influence on Elmidae, Chironomidae and Baetidae. Monte Carlo tests exhibited significant variation in axis 1 of the CCA analysis (p.0.05) for conductivity and dissolved oxygen. These results demonstrates that Sg. Jeriau supports high Elmidae, Chironomidae and Baetidae and these families have high potential as good biological indicators for highland ecosystems.		[Hasnoramri, Hasya Shazwani; Yue, Lau Hor; Ahmad, A. K.] Univ Kebangsaan Malaysia, Fak Sains & Teknol, Jabatan Sains Bumi & Alam Sekitar, Ukm Bangi 43600, Selangor Darul, Malaysia; [Ahmad, A. K.] Univ Kebangsaan Malaysia, Fak Sains & Teknol, Jabatan Sains Bumi & Alam Sekitar, Ukm Bangi 43600, Selangor Darul, Malaysia								0							Multidisciplinary Sciences	WOS:000911392000003		
J	Battaglia, Joseph P.; Kearney, Christian M.; Guerette, Kirsten; Corbishley, Jordan; Sanchez, Emily; Kent, Brennah; Storie, Hanna; Sharp, Emma; Martin, Shane; Saberito, Matthew; Blake, Jonathan D.; Feinn, Richard S.; Mital, Jeffrey; Kaplan, Lisa A. E.								Use of multiple endpoints to assess the impact of captivity on gut flora diversity in Long Island Sound <i>Fundulus heteroclitus</i>								ENVIRONMENTAL BIOLOGY OF FISHES				105	7			867	883		10.1007/s10641-022-01293-x			JUL 2022	2022	We evaluated the impact of short-term captive housing on gut flora diversity in Fundulus heteroclitus by characterizing culturable gut bacteria immediately after fish capture and following short-term (28-day) captive housing. Bacterial colony and cell morphology served as crude but statistically significant endpoints for detecting alteration in culturable gut bacteria following F. heteroclitus short-term captive housing. 16S rRNA sequence analyses of isolates from short-term captive-housed F. heteroclitus produced fewer families (68%), genera (69%), and species (63%) identities resulting in lower species richness (63%), 2.4-fold lower Margalef's Index, 1.7-fold lower Menhinick's Index, 28.6% lower Shannon-Wiener Diversity Index, 2.1-fold greater Simpson Dominance Index, 1.5-fold greater Berger-Parker Dominance, and 2.9-fold lower Fisher's Alpha Diversity Index. When comparing isolate populations from field and short-term captive-housed fish, Sorenson's Similarity Coefficient (CC) was 0.081, and Jaccard's Distance Coefficient (1-J) was 0.958. Based upon these observations, our study provides clear evidence for the substantial and negative impact of short-term captive housing on F. heteroclitus gut flora diversity.		[Battaglia, Joseph P.; Corbishley, Jordan; Sharp, Emma; Martin, Shane; Kaplan, Lisa A. E.] Quinnipiac Univ, Dept Biol Sci, Hamden, CT 06518 USA; [Kearney, Christian M.; Guerette, Kirsten; Sanchez, Emily; Kent, Brennah; Saberito, Matthew; Mital, Jeffrey] Quinnipiac Univ, Dept Biomed Sci, Hamden, CT 06518 USA; [Storie, Hanna] Quinnipiac Univ, Sch Hlth Sci, Hamden, CT 06518 USA; [Blake, Jonathan D.] Quinnipiac Univ, Sch Engn, Hamden, CT 06518 USA; [Feinn, Richard S.] Quinnipiac Univ, Frank H Netter MD Sch Med, Dept Med Sci, North Haven, CT 06473 USA; [Kaplan, Lisa A. E.] Quinnipiac Univ, Dept Biol Sci, Hamden, CT 06518 USA								1							Ecology; Marine & Freshwater Biology	WOS:000828290200002		
J	Zafra, R.; Martinez-Moreno, F. J.; Rufino-Moya, P. J.; Gutierrez, P. N.; Martinez-Cruz, S.; Buffoni, L.; Martinez-Moreno, A.; Acosta, I.								Study of the helminth fauna in eagle owl (<i>Bubo bubo</i>) in the south of Spain								INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE				18				260	265		10.1016/j.ijppaw.2022.06.011			AUG 2022	2022	In this study we show the results of the eagle owls' (Bubo bubo) helminthfauna found in Andalusia. A total number of 50 specimens have been analysed in a period of 10 years (from 2011 to 2020). Prevalence (P-%), mean intensity (I-M) and mean abundance (A(M)) of parasitation have been obtained. The percentage of parasitation in the total sample was 80% (40 out of 50 eagle owls): 78% nematodes, 8% trematodes, 6% cestodes and 4% acantocephalans. 7 species of helminths were identified: 6 nematodes, and 1 trematode. In the case of cestodes and acantocephalans it was not possible to determine species and only the genus was identified. The intestinal nematode Capillaria tenuissima (P-% = 58% (44-71.2); I-M = 11,52 (5.83-28.9)) was the core species whereas Synhimantus laticeps (P% = 16 (7.5-28.8); I-M = 4 (1.75-7.25)) and Hartertia hispanica (P% = 16 (7.5-28.8); I-M = 1,5 (1-2)) were the secondary species. The remainder species were considered satellite species, with low prevalence and average abundance. Likewise, descriptive parameters of the helminth community were determined: species richness, 1.56 (1.29-1.94), total abundance, 12 (7.24-26.40), Brillouin's diversity index, 0.18 (0.10-0.29) and Berger-Parker dominance index, 0.88 (0.81-0.93). The data from this study show a non-diverse helminthic community, without species dominance with C. tenuissima as the central species, followed by S. laticeps and H. hispanica as secondary species. Worth mentioning is the presence of H. hispanica, which is considered an endemic species in Spain and specifically in Andalusia. To the authors' knowledge, this is the largest population sample taken in parasitological studies about helminths of this raptor in Europe and the first one carried out in the south of Spain (Andalusia).		[Zafra, R.; Martinez-Moreno, F. J.; Rufino-Moya, P. J.; Gutierrez, P. N.; Martinez-Cruz, S.; Buffoni, L.; Martinez-Moreno, A.; Acosta, I.] Univ Cordoba, Fac Vet Med, Anim Hlth Dept Parasitol & Parasit Dis, Cordoba, Spain; [Martinez-Moreno, F. J.] Univ Cordoba, Fac Vet Med, Anim Hlth Dept Parasitol & Parasit Dis, Cordoba, Spain								1							Ecology; Parasitology	WOS:000831632600007		
