PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Smales, L. R.; Wood, J. A. L.; Chisholm, L. A.								A review of the nematode assemblage of the Australian bandicoot, <i>Isoodon macrourus</i> (Peramelidae), from material held in the South Australian Museum with the description of <i>Sprattellus cassonei</i> n. sp. (Mackerrastrongylidae)								JOURNAL OF HELMINTHOLOGY				97						e79	10.1017/S0022149X23000639			OCT 19 2023	2023	A total of 235 vials of nematodes held in the Australian Helminthological Collection of the South Australian Museum from 125 individuals of Isoodon macrourus were examined. The nematode assemblage of I. macrourus, comprising 12 families, including 16 genera and 23 identified species, was compared with the sympatric bandicoot species Perameles nasuta, 20 identified species (Sorensen's index of similarity 0.56) and P. pallescens, 12 identified species (Sorensen's index 0.51). Sprattellus cassonei n. sp. is distinguished from its congeners by having a synlophe with 7-8 ridges with the anterior ventral ridges interrupted, the morphology of the dorsal ray and the branching of the spicule tips. A single male specimen identified as Linstowinema sp. 1. is characterised by seven circles of body hooks, the oesophagus terminating at the level of the seventh circle and robust scale-like spines on the posterior ventral body. A complete description of the species will require additional material, including females. Difficulties in identifying individuals of the genus Mackerrastrongylus to species level are discussed. Overall similarities in the nematode assemblages of the three bandicoot hosts are likely due to shared relationships and similar behaviours.		[Smales, L. R.; Wood, J. A. L.; Chisholm, L. A.] South Australian Museum, Parasitol Sect, North Terrace, Adelaide, SA 5000, Australia; [Chisholm, L. A.] Univ Adelaide, Sch Biol Sci Ecol & Evolutionary Biol, North Terrace, Adelaide, SA 5001, Australia; [Smales, L. R.] South Australian Museum, Parasitol Sect, North Terrace, Adelaide, SA 5000, Australia								0							Parasitology; Zoology	WOS:001089222200001		
J	Chama, Eyasu; Shibru, Simon; Gebre, Tizazu; Demissew, Sebsebe; Woldu, Zerihun								Plant community types and species compositional variations of the forest patches in Wolaita zone, Southwest Ethiopia								COMMUNITY ECOLOGY				24	3			317	331		10.1007/s42974-023-00159-1			OCT 2023	2023	Forests in Ethiopia are of high ecological value, but their area is declining at an alarming rate due to various anthropogenic pressures. We identified and characterized plant communities, species diversity, and their determinants in forest patches in Wolaita, Southwest Ethiopia. We recorded the number of individuals of plants, species cover-abundance, and environmental factors in 126 (20 m x 20 m) quadrats. We sampled soils from three layers of 10 cm depth each and took air-dried composite samples to soil laboratory of Arba Minch University for analyses. The plant community-environment relationship was determined using canonical correspondence analysis. We used various diversity indices to compute species diversity. Species composition resemblance between the plant communities was determined using Sorensen's similarity coefficient. We identified five distinct plant communities using hierarchical agglomerative clustering. Diospyros abyssinica-Combretum collinum community was rich, while Combretum molle-Ficus vasta community was poor in species. Juniperus procera-Olea europaea community and Cordia africana-Prunus africana community showed the highest species similarity. D. abyssinica-C. collinum community had the maximum Shannon entropy (H = 4.19), while C. molle-F. vasta community had the minimum (H = 3.17). Shannon entropy was high in the study area (H = 3.75; Evenness = 0.86; Number of effective species = 41.7). J. procera-O. europaea community was dense (1014 individuals' ha-1), whereas C. molle-F. vasta community was sparse (762 individuals ha-1). Altitude, pH, EC, total nitrogen, sand, and clay explained most of the variations among community types. In general, low level of disturbance was detected in the study areas. Anthropogenic pressures, such as livestock grazing, and browsing, tree cutting for construction material and fuelwood, and mowing of grasses for livestock feed and roof cover may expose the soil to erosion and can alter the composition and structure of the forest patches in the study area. The low disturbance value, the high Shannon entropy, and other metrics show that these communities are of high natural value; thus, their preservation is of utmost importance. Monitoring and conservation intervention are necessary to sustain the importance of forest ecosystems.		[Chama, Eyasu; Shibru, Simon; Gebre, Tizazu] Arba Minch Univ, Biol Dept, POB 21, Arba Minch, Ethiopia; [Demissew, Sebsebe; Woldu, Zerihun] Addis Ababa Univ, Dept Plant Biol & Biodivers Management, Addis Ababa, Ethiopia; [Shibru, Simon] Arba Minch Univ, Biol Dept, POB 21, Arba Minch, Ethiopia								0							Ecology	WOS:001067128100001		
J	Sanchez-Diaz, Baltazar; Solis-Silvan, Rudy; Fraire-Vazquez, Azucena del Rosario; Ruiz-Moreno, Amalia Xiutlhalzin; Rios-Rodas, Liliana; Geronimo-Torres, Jose del Carmen								The dynamic of shade trees in cocoa agrosystems								INGENIERIA Y COMPETITIVIDAD				25	3					e12482	10.25100/iyc.v25i3.12482.			SEP-DEC 2023	2023	The presence of diverse shade trees in cocoa agrosystems allows for the creation of suitable habitats for wildlife species, enabling them to thrive within the plantation environment. The objective of this research is to calculate the similarity indices of shade trees used in cocoa agrosystems in the region of Comalcalco, Tabasco, Mexico. Field sampling was carried out to collect data on breast height diameter, canopy diameter and canopy height, these variables were used to calculate the Sorensen and Morisita-Horn similarity indices. The similarity between the study sites, Sorensen's qualitative index shows that SA 1 -SA 2 are the most similar in species composition, SA 1 -SA 2 with 27.46% similarity, followed by SA 2 -SA 3 with 27.27 %, while SA 1 -SA 3 are the sites with a less similar structure of 26.52%. The role of shade trees in cocoa agrosystems is significant as it can serve as a variable in assessing and predicting the quality of available habitats for wildlife conservation, including birds, reptiles, and arboreal mammals, using ecological niche modeling techniques.		[Sanchez-Diaz, Baltazar; Solis-Silvan, Rudy; Fraire-Vazquez, Azucena del Rosario; Ruiz-Moreno, Amalia Xiutlhalzin] Tecnol Nacl Mexico TecNM, Campus Comalcalco,Carretera vecinal,Paraiso Comalc, Comalcalco 86650, Tabasco, Mexico; [Rios-Rodas, Liliana; Geronimo-Torres, Jose del Carmen] Univ Autonoma Chiapas, Fac Maya Estudios Agr, Carretera Catazaja Palenque Km 4, Catazaja 29980, Chiapas, Mexico; [Sanchez-Diaz, Baltazar] Tecnol Nacl Mexico TecNM, Campus Comalcalco,Carretera vecinal,Paraiso Comalc, Comalcalco 86650, Tabasco, Mexico								0							Engineering, Multidisciplinary	WOS:001030677200002		
J	Smales, Lesley R.; Wood, Jo A. L.; Chisholm, Leslie A.								A review of the nematode assemblages of the genus <i>Perameles</i> (Peramelidae), Australian bandicoots, held in the South Australian Museum								TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA				147	2			173	189		10.1080/03721426.2023.2239547			JUL 3 2023	2023	A total of 210 vials of nematodes collected from four species of Perameles (representing 15 individuals of P. bougainville, 83 of P. gunnii, 54 of P. nasuta and 19 of P. pallescens) held in the Australian Helminthological Collection of the South Australian Museum were examined. Nematodes were identified and parasite assemblages of the four hosts were compared. Using only the number of nematodes identified to species as an indicator of diversity, the nematode community of P. bougainville was the most depauperate (4 species) followed by P. gunnii (11 species), P. pallescens (12 species) and P. nasuta (20 species). None of the species were found in all four hosts. Excluding P. bougainville, Sorensen's index of similarity showed that P. gunnii and P. pallescens had the least similar, 0.26, and P. pallescens and P. nasuta the most similar, 0.50, nematode communities. Linstowinema warringtoni Smales, 1997, Mackerrastrongylus peramelis (Johnston & Mawson, 1938) and Peramelistrongylus skedastos Mawson, 1960 were found in three hosts, P. gunnii, P. nasuta and P. pallescens. Each of the four hosts had a unique species profile: four species of Physaloptera being found in P. nasuta, three in P. pallescens, one in P. gunnii and none in P. bougainville. Of the trichostrongyloids, Mackerrastrongylus peramelis was the most prevalent in P. pallescens and Peramelistrongylus skedastos in P. gunnii and P. nasuta. The influence of nematode collection techniques, sample sizes and host geographic range and ecology may have had on the assemblages we observed is discussed.		[Smales, Lesley R.; Wood, Jo A. L.; Chisholm, Leslie A.] Parasitol Sect, Adelaide, SA, Australia; [Chisholm, Leslie A.] Univ Adelaide, Sch Biol Sci, Ecol & Evolutionary Biol, Adelaide, SA, Australia; [Smales, Lesley R.] South Australian Museum, Parasitol Sect, North Terrace, Adelaide, SA 5000, Australia; [Smales, Lesley R.] South Australian Museum, Parasitol Sect, North Terrace, Adelaide, SA 5000, Australia								1							Multidisciplinary Sciences	WOS:001041936900001		
J	Greyling, Eugene; Comley, Jessica; Cherry, Michael I.; Leslie, Alison J.; Mueller, Lana								Facilitation of a free-roaming apex predator in working lands: evaluating factors that influence leopard spatial dynamics and prey availability in a South African biodiversity hotspot								PEERJ				11						e14575	10.7717/peerj.14575			JAN 25 2023	2023	Apex predators ideally require vast intact spaces that support sufficient prey abundances to sustain them. In a developing world, however, it is becoming extremely difficult to maintain large enough areas to facilitate apex predators outside of protected regions. Free-roaming leopards (Panthera pardus) are the last remaining apex predator in the Greater Cape Floristic Region, South Africa, and face a multitude of threats attributable to competition for space and resources with humans. Using camera-trap data, we investigated the influence of anthropogenic land modification on leopards and the availability of their natural prey species in two contrasting communities-primarily protected (Cederberg) and agriculturally transformed (Piketberg). Potential prey species composition and diversity were determined, to indicate prey availability in each region. Factors influencing spatial utilisation by leopards and their main prey species were also assessed. Estimated potential prey species richness (Cederberg = 27, Piketberg = 26) and diversity indices (Cederberg-H ' = 2.64, Ds = 0.90; Piketberg-H ' = 2.46, Ds = 0.89), supported by both the Jaccard's Index (J = 0.73) and Sorensen's Coefficient (CC = 0.85), suggested high levels of similarity across the two regions. Main leopard prey species were present in both regions, but their relative abundances differed. Grey rhebok, klipspringer, and rock hyrax were more abundant in the Cederberg, while Cape grysbok, Cape porcupine, chacma baboon, and common duiker were more abundant in Piketberg. Leopards persisted across the agriculturally transformed landscape despite these differences. Occupancy modelling revealed that the spatial dynamics of leopards differed between the two regions, except for both populations preferring areas further away from human habitation. Overall, anthropogenic factors played a greater role in affecting spatial utilisation by leopards and their main prey species in the transformed region, whereas environmental factors had a stronger influence in the protected region. We argue that greater utilisation of alternative main prey species to those preferred in the protected region, including livestock, likely facilitates the persistence of leopards in the transformed region, and believe that this has further implications for human-wildlife conflict. Our study provides a baseline understanding of the potential direct and indirect impacts of agricultural landscape transformation on the behaviour of leopards and shows that heavily modified lands have the potential to facilitate mammalian diversity, including apex predators. We iterate that conservation measures for apex predators should be prioritised where they are present on working lands, and encourage the collaborative development of customised, cost-effective, multi-species conflict management approaches that facilitate coexistence.		[Greyling, Eugene; Cherry, Michael I.] Stellenbosch Univ, Dept Bot & Zool, Stellenbosch, Western Cape, South Africa; [Greyling, Eugene; Mueller, Lana] Cape Leopard Trust, Cape Town, Western Cape, South Africa; [Comley, Jessica] Univ Mpumalanga, Wildlife & Reserve Management Res Grp, Mbombela, Mpumalanga, South Africa; [Leslie, Alison J.] Stellenbosch Univ, Dept Conservat Ecol & Entomol, Stellenbosch, Western Cape, South Africa; [Greyling, Eugene] Stellenbosch Univ, Dept Bot & Zool, Stellenbosch, Western Cape, South Africa; [Greyling, Eugene] Cape Leopard Trust, Cape Town, Western Cape, South Africa								1							Multidisciplinary Sciences	WOS:000926007400006		
J	Anamo, Abera; Mammo, Siraj; Temesgen, Mathewos								Floristic composition and community analysis of woody species in Hereje Natural Forest, southwest Ethiopia								SN APPLIED SCIENCES				5	1					48	10.1007/s42452-022-05265-9			JAN 2023	2023	The floristic composition, diversity, and conservation status of woody plant species in Ethiopia are determined in this study. Data on vegetation are collected using a systematic random sampling method from 45 20 m x 20 m (400m(2)) plots laid every 100 m along four parallel transect lines running from south to north. The Flora of Ethiopia and Eritrea identification key (Volume I-VIII) is used to identify the scientific names of all woody plant species. The Shannon-Wiener diversity index is used to calculate species diversity, whereas Sorensen's similarity coefficient is used to assess similarities and differences among plant communities. The studied forest contains 44 plant species from 29 families and 40 genera. The Fabaceae is the most dominant family, followed by the Rubiaceae and Combretaceae. In terms of habit, the collected woody species consisted of 30 (68.2%) trees and 14 (31.8%) shrubs. The two most frequent species are Syzygium guineense (51.11%) and Maytenus gracilipes (46.66%). Three plant community types are identified using Agglomerative Hierarchical Cluster Analysis. Most species (Calpurnia aurea-Combretum molle) are observed in community type two. The study is generally limited to the floristic and diversity of woody plant species. Therefore, a thorough investigation of all species' floristic composition, population structure, regeneration status, and ecological aspects is recommended.		[Anamo, Abera; Mammo, Siraj; Temesgen, Mathewos] Ambo Univ, Coll Nat & Computat Sci, Biol Dept, Box 19, Ambo, Ethiopia; [Mammo, Siraj] Ambo Univ, Coll Nat & Computat Sci, Biol Dept, Box 19, Ambo, Ethiopia								1							Multidisciplinary Sciences	WOS:000906277400001		
J	Akyol, Duygu; Akyazi, Rana								Comparative faunistic analysis of mite species on neglected and conventional pome fruit trees in Turkey								ACAROLOGIA				62	4			941	955		10.24349/vt6l-svza			2022	2022	The paper presents the comparative faunistic analysis of leaf inhabiting mite species on neglected and conventionally grown pome fruit trees in Turkey as well as their diversity and distributions. For this purpose, twelve sampling areas were chosen in the Ordu region of Turkey. The study was carried out on four fruit tree species, apple (Malus domestica), pear (Pyrus communis), quince (Cydonia oblonga), and loquat (Eriobotrya japonica), between 2014 and 2019. In the study, a total of 42 mite species were identified from 12 families belonging to two orders. 92.43% of all species were found on the neglected trees, while 7.57% were reported in the conventional orchards. Among phytophagous mites, Cenopalpus pulcher on the neglected trees and Amphitetranychus viennensis in the conventional orchards showed the greatest overall constancy. The most abundant and common predatory species were Phytoseius finitimus on the neglected trees and Transeius wainsteini in the conventional orchards. A high faunistic similarity was found between the conventionally grown apple fruit trees and neglected apple, pear, quince, loquat trees. Considering together predatory and tetranychoid mites, the highest interspecific association index was revealed for the pair T. wainsteini - C. pulcher. Additionally, the pair Z. mali - T. wainsteini within the predatory mites and A. viennensis - C. pulcher within the tetranychoid mites had the highest index of association.		[Akyol, Duygu; Akyazi, Rana] Ordu Univ, Fac Agr, Plant Protect Dept, Ordu, Turkey; [Akyazi, Rana] Ordu Univ, Fac Agr, Plant Protect Dept, Ordu, Turkey								0							Entomology	WOS:000861702400001		
J	Yinebeb, Metsehet; Lulekal, Ermias; Bekele, Tamrat								Composition of homegarden plants and cultural use in an indigenous community in Northwest Ethiopia								JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE				18	1					47	10.1186/s13002-022-00545-5			JUN 20 2022	2022	Background Homegardens in Northern Ethiopia received little investigation into the diversity of plants and no study and recording in the Gozamin District. This study was used to fill the gap in how cultural use and cultural importance conserve species diversity in homegardens in the different agroclimatic zones in northwestern Ethiopia. Methods The study district and 12 kebeles were chosen using multistage and stratified random selection procedures based on traditional agroclimatic zones in the Gozamin District, Northwest Ethiopia, respectively. The number of plots chosen in each homegarden was determined by the homegarden's size, which ranges from 0.015 to 0.5 ha. These data were gathered by putting plots with a distance gradient from home (size: 10 x 10 m each). A semi-structured interview and complete plant inventory were conducted to document the informant's knowledge of plant species. Sorensen's similarity indices and Shannon-Wiener diversity indices were used to compare the similarity of sites and three agroclimatic zones, respectively. Direct matrix ranking, cultural importance (CI), the relative frequency of citation, and cultural value were used in quantitative analysis to compare the most common multipurpose plants. Results A total of 238 culturally important plant species from 81 families were identified. The Kruskal-Wallis test showed that there was a significant difference among the three agroclimatic zones species diversity (H = 103.4, Hc = 111.2, p < 0.05). Of the total plant species recorded, 59% were reported to be utilized for environmental uses, 35% were food crops, and 35% were medicinal plant species. The same was true for the three agroclimatic zones; food and medicinal uses were the first and second most important use categories, respectively. The similarity index for 64% of the sites investigated was less than 0.5. Cordia africana (FC = 125) was the most culturally significant species with a value of 2.23 on the CI index. Conclusion Homegardens are multifunctional systems. The presence of different agroclimatic zones, cultural uses, cultural importance, and cultural value of the species are central to conserving plant species in the area. As the size of the garden increases, so does the diversity of species and uses. Our findings suggest that conservation strategies should take into account the links between plant composition and cultural importance.		[Yinebeb, Metsehet; Lulekal, Ermias; Bekele, Tamrat] Addis Ababa Univ, Coll Nat Sci, Plant Biol & Biodivers Management, POB 1176, Addis Ababa, Ethiopia; [Yinebeb, Metsehet] Kotebe Univ Educ, Biol Dept, Addis Ababa, Ethiopia; [Yinebeb, Metsehet] Addis Ababa Univ, Coll Nat Sci, Plant Biol & Biodivers Management, POB 1176, Addis Ababa, Ethiopia; [Yinebeb, Metsehet] Kotebe Univ Educ, Biol Dept, Addis Ababa, Ethiopia								3							Biodiversity Conservation; Plant Sciences; Pharmacology & Pharmacy	WOS:000813731700001		
J	Rios Barreto, Andressa Mota; Gomes, Lhoraynne Pereira; Kunz, Sustanis Horn; Dias, Henrique Machado; Pedra de Abreu, Karla Maria								Structure, floristic composition and environmental relationships of natural regeneration in a semideciduous seasonal forest								CIENCIA FLORESTAL				32	2			757	775		10.5902/1980509848183			APR-JUN 2022	2022	This paper aims to evaluate the floristic and structure of natural regeneration in a forest fragment located in the south of Espirito Santo State, as well as to verify the interaction between vegetation and environmental variables. The study was developed in Private Reserve of Nature Patrimony (RPPN) Cafundo, with twelve sample units (1 x 20m), where three classes based on size - Class 1 (plants between 0.1 and 1m high), Class 2 (plants between 1.1 and 3m high) and Class 3 (plants higher than 3m and less than 5cm DBH). This RPPN has a total area of 517ha, which approximately 358ha were used for allocation of experimental units. Individuals were classified according to ecological group and dispersion syndrome. Floristic diversity, equability, density and frequency of species were also calculated. Analysis of natural regeneration, floristic similarity between natural regeneration and the upper layer as well the regenerating layer interaction with environmental variables was performed through Canonical Correspondence Analysis. We found 678 individuals distributed in 73 morphospecies/species, with Actinostemon klotzschii and Goniorrhachis marginate being the most abundant. Sorensen's similarity between natural regeneration and the adult tree layer was 29%. The most dominant ecological groups were late secondary, while zoochory was the predominant dispersion syndrome among existing species. Shannon diversity index was 3.13 and equability 0.72. Goniorrhachis marginata, Actinostemon klotzschii and Psychotria carthagenensis species had correlation with carbon (C), phosphorus (P), declivity and canopy cover. We concluded that the natural regeneration component within studied area has a high richness and density of individuals when compared to studies developed in similar phytophysiognomies. The studied environmental variables seem to have little influence on the distribution of natural regeneration species in the RPPN, once only carbon, phosphorus, declivity and canopy cover have explained the species distribution within fragment.		[Rios Barreto, Andressa Mota; Kunz, Sustanis Horn; Dias, Henrique Machado] Univ Fed Espirito Santo, Jeronimo Monteiro, ES, Brazil; [Gomes, Lhoraynne Pereira] Univ Fed Vicosa, Vicosa, MG, Brazil; [Pedra de Abreu, Karla Maria] Inst Fed Educ Ciencia & Tecnol Espirito Santo, Alegre, ES, Brazil; [Rios Barreto, Andressa Mota] Univ Fed Espirito Santo, Jeronimo Monteiro, ES, Brazil								0							Plant Sciences; Forestry	WOS:000820838200012		
J	Dias, Filipe S.; Betancourt, Michael; Rodriguez-Gonzalez, Patricia Maria; Borda-de-Agua, Luis								Analysing the distance decay of community similarity in river networks using Bayesian methods								SCIENTIFIC REPORTS				11	1					21660	10.1038/s41598-021-01149-x			NOV 4 2021	2021	The distance decay of community similarity (DDCS) is a pattern that is widely observed in terrestrial and aquatic environments. Niche-based theories argue that species are sorted in space according to their ability to adapt to new environmental conditions. The ecological neutral theory argues that community similarity decays due to ecological drift. The continuum hypothesis provides an intermediate perspective between niche-based theories and the neutral theory, arguing that niche and neutral factors are at the opposite ends of a continuum that ranges from competitive to stochastic exclusion. We assessed the association between niche-based and neutral factors and changes in community similarity measured by Sorensen's index in riparian plant communities. We assessed the importance of neutral processes using network distances and flow connection and of niche-based processes using Strahler order differences and precipitation differences. We used a hierarchical Bayesian approach to determine which perspective is best supported by the results. We used dataset composed of 338 vegetation censuses from eleven river basins in continental Portugal. We observed that changes in Sorensen indices were associated with network distance, flow connection, Strahler order difference and precipitation difference but to different degrees. The results suggest that community similarity changes are associated with environmental and neutral factors, supporting the continuum hypothesis.		[Dias, Filipe S.; Borda-de-Agua, Luis] Univ Porto, CIBIO InBio, Ctr Invest Biodiversidade & Recursos Genet, Lab Associado, Campus Agr Vairao, P-4485661 Vairao, Portugal; [Dias, Filipe S.; Borda-de-Agua, Luis] Univ Lisbon, CIBIO InBio, Ctr Invest Biodiversidade & Recursos Genet, Lab Associado,Inst Super Agron, P-1349017 Lisbon, Portugal; [Dias, Filipe S.; Borda-de-Agua, Luis] CIBIO, BIOPOLIS Program Genom Biodivers & Land Planning, Campus Vairao, P-4485661 Vairao, Portugal; [Betancourt, Michael] Symplectomorphic LLC, New York, NY USA; [Rodriguez-Gonzalez, Patricia Maria] Univ Lisbon, Inst Super Agron, Ctr Estudos Florestais, P-1349017 Lisbon, Portugal; [Dias, Filipe S.] Univ Porto, CIBIO InBio, Ctr Invest Biodiversidade & Recursos Genet, Lab Associado, Campus Agr Vairao, P-4485661 Vairao, Portugal; [Dias, Filipe S.] Univ Lisbon, CIBIO InBio, Ctr Invest Biodiversidade & Recursos Genet, Lab Associado,Inst Super Agron, P-1349017 Lisbon, Portugal; [Dias, Filipe S.] CIBIO, BIOPOLIS Program Genom Biodivers & Land Planning, Campus Vairao, P-4485661 Vairao, Portugal								3							Multidisciplinary Sciences	WOS:000714702000026		
