PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Mekhrovar, Okhonniyozov; Li, Yao-ming; Abdullo, Madaminov; Sino, Yusupov; Fan, Lianlian								Nutrient addition alters plant community productivity but not the species diversity of a mountain meadow in Tajikistan								FRONTIERS IN PLANT SCIENCE				14						1235388	10.3389/fpls.2023.1235388			JAN 15 2024	2024	Introduction: Tajikistan is a typical mountainous country covered by different mountain grasslands that are important pasture resources. Recently, grassland degradation has become widespread due to climate change and human activities and fertilization has been used to improve grassland production. However, fertilizer inputs can substantially alter species diversity, but it is uncl\ear how productivity and species diversity respond to nutrient enrichment in the mountain meadows of Tajikistan. Methods: Therefore, a 5-year (2018-2022) continuous in-situ mineral fertilizer experiment was conducted to examine the effects of three nitrogen (N) levels (0, 30, and 90 kg N ha(-1) year(-1)), two phosphorus (P) levels (0 and 30 kg P ha(-1) year(-1)), and their combinations on above-ground biomass (AGB) and species diversity in a mountain meadow grassland in Ziddi, Varzob region, Tajikistan. Five species diversity metrics-Margalef's species richness (D-ma), the Shannon-Wiener index (H), the Simpson index (C), Pielou's equitability index (E-pi), and the Evar Species Evenness index (E-var)-were used to measure species diversity. Results and discussions: The results indicated that the addition of different N and P amounts and their various combinations considerably increased both total and dominant species AGB, with the highest increase occurring in the N90P30 (90 kg N ha(-1) year(-1) combined with 30 kg P ha(-1) year(-1)) treatment in 2022; during the experiment, the importance value of Prangos pabularia (dominant species) first decreased and then increased, but its dominant status did not change or fluctuate among the years. Furthermore, N, P, and their different combinations had no significant effect on species diversity (D-ma, H, C, E-pi, and E-var). All the species diversity indexes fluctuated among years, but there was no interaction with mineral fertilizer addition. Total AGB had a negative relationship with species diversity and low concentration N fertilizer addition (N30; P30) strengthened this negative trend. However, this trend decreased under the high N fertilizer condition (N90P30). Overall, nutrient addition to the natural mountain grassland of the Varzob region improved AGB, which meant that there was more forage for local animals. Mineral fertilizers had no significant effect on species diversity, but may enhance P. pabularia dominance in the future, which will help maintain the stability of the plant community and improve the quality of the forage because P. pabularia is an excellent and important winter fodder. Our study suggests that scientific nutrient management could effectively promote grassland production, conserve plant variety, and regenerate degraded grassland, which will counteract the desertification process in northwest Tajikistan mountain meadows.		[Mekhrovar, Okhonniyozov; Li, Yao-ming; Fan, Lianlian] Chinese Acad Sci, Xinjiang Inst Ecol & Geog, State Key Lab Desert & Oasis Ecol, Urumqi, Peoples R China; [Mekhrovar, Okhonniyozov; Li, Yao-ming; Fan, Lianlian] Chinese Acad Sci, Res Ctr Ecol & Environm Cent Asia, Urumqi, Peoples R China; [Mekhrovar, Okhonniyozov; Li, Yao-ming] Res Ctr Ecol & Environm Cent Asia, Dushanbe, Tajikistan; [Mekhrovar, Okhonniyozov; Li, Yao-ming; Fan, Lianlian] Univ Chinese Acad Sci, Beijing, Peoples R China; [Abdullo, Madaminov; Sino, Yusupov] Inst Bot Physiol & Plant Genet, Acad Sci Republ Tajikistan, Dushanbe, Tajikistan; [Fan, Lianlian] Chinese Acad Sci, Xinjiang Inst Ecol & Geog, State Key Lab Desert & Oasis Ecol, Urumqi, Peoples R China; [Fan, Lianlian] Chinese Acad Sci, Res Ctr Ecol & Environm Cent Asia, Urumqi, Peoples R China; [Fan, Lianlian] Univ Chinese Acad Sci, Beijing, Peoples R China								0							Plant Sciences	WOS:001150746000001		
J	Pokhrel, Niraj; Timilsina, Sachin; Awasthi, Nripesh; Adhikari, Anita; Adhikari, Bikash; Ayer, Santosh; Bhatta, Kishor Prasad								Implications of irregular shelterwood system on regeneration and species diversity of Sal (Shorea robusta Gaertn. f.) forest in Nepal								HELIYON				10	1					e23156	10.1016/j.heliyon.2023.e23156			JAN 15 2024	2024	Silvicultural systems are essential for effective forest management and utilize the resources by conserving biodiversity, health, and valuable services forests offer to society. However, Nepal faces a significant knowledge gap due to the limited data on the effect of silvicultural systems and forest management practices on tree diversity and regeneration. Therefore, this study was conducted to assess the effects of canopy opening on natural regeneration and species diversity of Sal (Shorea robusta Gaertn. f.) forest in comparison to managed and control blocks in the southern plains of Nepal under irregular shelterwood systems. The vegetation sampling was carried out by the quadrat method (plot of 10 m* 10 m) for studying 48 plots in both managed and control forest areas. The Shannon-Wiener Index and the Simpson Index were used to measure species diversity, whereas Margalef's index was used to measure species richness. Dominant tree species in both managed and control forest areas were identified through the Important Value Index (IVI). The seedling and sapling density of Sal was found to be significantly higher (p < 0.05) in managed blocks. Seedlings of Sal from the seed origin were notably more abundant in the managed block (p < 0.01), whereas those from coppice origin exhibited higher numbers in the control block (p < 0.01). Sal was found to be dominant species in both managed block (IVI = 199.94) and control (IVI = 108.34). The species diversity and richness were significantly declining in the managed forest (p < 0.01) with higher species dominance in comparison to the control blocks. Our study found a positive correlation of canopy cover with species diversity (r = 0.69, p < 0.01) and richness (r = 0.59, p < 0.01) whereas a negative correlation with seedling (r = -0.43, p < 0.01) and sapling density (r = -0.16, p < 0.01). The application of the irregular shelterwood system in study area has effectively promoted natural Sal regeneration while concurrently reducing species diversity. To strike a balance between timber production and biodiversity conservation in these forests, further research focusing on moderating felling intensity within the irregular shelterwood system is strongly recommended.		[Pokhrel, Niraj; Timilsina, Sachin; Adhikari, Bikash] Tribhuvan Univ, Inst Forestry, Pokhara Campus, Pokhara 33700, Nepal; [Awasthi, Nripesh] Minist Ind Tourism Forest & Environm, Kailali, Sudurpaschim, Nepal; [Adhikari, Anita] Tribhuvan Univ, Inst Forestry, Hetauda Campus, Makwanpur 44107, Nepal; [Ayer, Santosh] Agr & Forestry Univ, Coll Nat Resource Management CNRM, Katari 56310, Nepal; [Bhatta, Kishor Prasad] Res & Dev Ctr, Kathmandu 44600, Nepal; [Timilsina, Sachin] Tribhuvan Univ, Inst Forestry, Pokhara Campus, Pokhara 33700, Nepal								0							Multidisciplinary Sciences	WOS:001134731100001		
J	Mohanty, Trupti Rani; Tiwari, Nitish Kumar; Das, Basanta Kumar; Swain, Himanshu Sekhar; Jhonson, Canciyal; Banerjee, Tanushree								Riverine connectivity influences the phytoplankton ecology in the open floodplain wetland of the lower river Ganga								ENVIRONMENTAL MONITORING AND ASSESSMENT				195	12					1403	10.1007/s10661-023-11983-3			DEC 2023	2023	The river Ganga has several floodplain wetlands that support its ecology and ecosystem. Phytoplankton is an important component of the aquatic ecosystem, which plays an important role as a bioindicator for the assessment of aquatic health. The present study was conducted between 2018 and 2019 to understand the seasonal variation in the phytoplankton diversity of the Charaganga wetland and, parallelly, in the river Ganga in Nabadweep, India. The study explains how riverine connectivity affects the structure of the algal community in the wetland ecosystem. In the study, it has been observed that in the wetland, maximum mean phytoplankton density was noticed during pre-monsoon, i.e., 4079 unit l(-1) followed by post-monsoon 3812 unit l(-1) and monsoon 550 unit l(-1), respectively. In the river system, the phytoplankton density varied from 78 unit l(-1) to 653 unit l(-1) seasonally, i.e., highest during monsoon and lowest during pre-monsoon. In both the ecosystems, i.e., wetland and river, the supreme influential group was Cyanophyceae followed by diatoms. One-way ANOVA showed a significant variation (p > 0.05) of three algal groups of phytoplankton (Bacillariophyceae, Coscinodiscophyceae, Chlorophyceae) in the river, while in the wetland, no significant variation (p > 0.05) was found among the other algal groups. The observed higher Shannon and Margalef's species richness value in the wetland was observed than in the river defines the significance and importance of the wetland ecosystem, which may support the growth and conservation of various aquatic organisms as well. The study highlighted that the influencing abiotic factors like water temperature, dissolved oxygen, pH, and nutrients have affected the phytoplankton community in both the water bodies, i.e., wetland and river. We concluded that river connectivity is required to restore the biotic flora of the wetland ecosystem.		[Mohanty, Trupti Rani; Tiwari, Nitish Kumar; Das, Basanta Kumar; Jhonson, Canciyal; Banerjee, Tanushree] Cent Inland Fisheries Res Inst, ICAR, Kolkata 700120, India; [Swain, Himanshu Sekhar] Cent Inst Freshwater Aquaculture, ICAR, Bhubaneswar 751002, India; [Das, Basanta Kumar] Cent Inland Fisheries Res Inst, ICAR, Kolkata 700120, India								1							Environmental Sciences	WOS:001098035600002		
J	Das, Sarita Kumari; Srinivasan, Nagesh Talagunda; Sarang, Niranjan; Das, Sudhir Kumar; Jawahar, Abraham Thangapalam; Canciyal, Johnson; Panda, Kamalesh								Effect of environmental drivers of fish assemblage and diversity patterns in temporal scale in Mongra Reservoir: A case study from one of the tributaries of Mahanadi Basin, Central India								ECOHYDROLOGY				16	8						10.1002/eco.2599			DEC 2023	2023	Influence of seasonal variations in environmental parameters on fish assemblage and species diversity patterns was studied in a tropical reservoir of Central India during March 2021 to February 2022. A total of 41 species belonging to 7 orders, 15 families and 29 genera were recorded with highest diversity during post-monsoon season compared to the pre-monsoon season and monsoon season. The fish abundance similarity between the monsoon and post-monsoon reached a maximum of 89%. Seasonal variations in the mean species abundance, Simpson dominance index, Shannon diversity index, Pielou's evenness index and Margalef's richness index were determined. One-way ANOVA revealed a significant difference (P < 0.05) at the temporal scale. There was a significant seasonal difference in species abundance (P = 0.0006) and evenness index (P = 0.02) among the diversity indices. During the study period, three 'vulnerable' species, three 'near threatened' species and two 'endangered' species were caught. Carnivore dominance was evident throughout the year in the trophic guild of fishes. The Pearson correlation test revealed that water pH, dissolved oxygen, sediment organic carbon and clay percentage were positively correlated to all four diversity indices. Simpson and Margalef species richness diversity indices were positively correlated to sediment pH. Fish abundance was positively associated with sediment pH, silt, phosphorus and nitrogen content. Canonical correspondence analysis was used to investigate the relationships between fish assemblages and environmental conditions. Among the 19 physicochemical parameters, nine (dissolved oxygen, total dissolved solids, conductivity, transparency, hardness, phosphate and chlorophyll-a, sediment nitrogen and phosphorus) characteristics were shown to be statistically significant (P < 0.05) in determining fish diversity. Dissolved oxygen, total dissolved solids, conductivity, transparency, hardness, phosphate and chlorophyll-a of water and sediment nitrogen and phosphorus qualities were the key factors for the species abundance. The reservoir boasts a diverse fish population that allows multi-species fishing and generates revenue for numerous local fishers. Fish habitats should be protected in order to maintain diversity and long-term ecological benefits.		[Das, Sarita Kumari; Srinivasan, Nagesh Talagunda; Das, Sudhir Kumar] West Bengal Univ Anim & Fishery Sci, Fac Fishery, Dept Fisheries Resource Management, Kolkata 700037, India; [Sarang, Niranjan; Panda, Kamalesh] DSVC Kamdhenu Vishwavidyalaya, Coll Fisheries, Durg, Chhattisgarh, India; [Jawahar, Abraham Thangapalam] West Bengal Univ Anim & Fishery Sci, Fac Fishery, Dept Aquat Anim Hlth, Kolkata, India; [Canciyal, Johnson] ICAR Cent Inland Fisheries Res Inst, Kolkata 700120, India; [Das, Sarita Kumari] West Bengal Univ Anim & Fishery Sci, Fac Fishery, Dept Fisheries Resource Management, Kolkata 700037, India								0							Ecology; Environmental Sciences; Water Resources	WOS:001103554900001		
J	Feng, Yuan; Chai, Yong; Qin, Yangping; Li, Guixiang; He, Liping; Zhang, Zhenghai; Wu, Li; Meng, Guangtao								Plant functional traits and tree size inequality improved individual tree height prediction of mid-montane humid evergreen broad-leaved forests in southwest China								FOREST ECOLOGY AND MANAGEMENT				551						121526	10.1016/j.foreco.2023.121526			JAN 1 2024	2024	Tree height and diameter at breast height (DBH) are key survey factors in forest inventory. Compared to measuring DBH, the process of measuring tree height is time-consuming, labor-intensive and costly, especially in natural mixed forests. Tree height is therefore commonly predicted using height-diameter (H-D) models. Nevertheless, developing H-D models for natural mixed forests are hampered by the large diversity of tree species and the small number of rare tree species observed. In this study, a nonlinear mixed effects H-D model was established for a mid-montane humid evergreen broad-leaved forest in southwest China. For this purpose, we classified tree species by K-means clustering according to the specific plant functional traits. Data were collected from 5, 737 trees in 100 subplots with 86 species. The results revealed that the nonlinear mixed effects model of tree height accounted for 75% of the variation in tree height without significant heteroscedasticity, and that the model parameters had biological significance. In the 10-fold cross validation, no clear fluctuation in the model evaluation metrics was observed, indicating the absence of overfitting in the model. Of the 15 stand variables, dominant height (Hd) and Margalef's index of DBH (DMg), which contributed the most to the height-diameter model, were selected to expand the model. Our findings suggest that tree height increased with increasing values of Hd and DMg, and vice versa. This study highlights the feasibility of categorizing natural mixed forests by utilizing plant functional traits and the influential role of tree size inequality on tree height variation.		[Feng, Yuan; Chai, Yong; Li, Guixiang; He, Liping; Zhang, Zhenghai; Wu, Li; Meng, Guangtao] Yunnan Acad Forestry & Grassland, Kunming 650201, Yunnan, Peoples R China; [Feng, Yuan; Chai, Yong; Li, Guixiang; He, Liping; Zhang, Zhenghai; Wu, Li; Meng, Guangtao] Yunnan Key Lab Biodivers Gaoligong Mt, Kunming 650201, Yunnan, Peoples R China; [Feng, Yuan; Chai, Yong; Li, Guixiang; He, Liping; Zhang, Zhenghai; Wu, Li; Meng, Guangtao] Gaoligong Mt Forest Ecosyst Observat & Res Stn Yun, Kunming 650201, Yunnan, Peoples R China; [Qin, Yangping] Natl Forestry & Grassland Adm, Southwest Survey & Planning Inst, Kunming 650031, Yunnan, Peoples R China; [Qin, Yangping] Chinese Acad Forestry, Inst Forest Resource Informat Tech, Key Lab Forest Management & Growth Modelling, Natl Forestry & Grassland Adm, Beijing 100091, Peoples R China; [Meng, Guangtao] Yunnan Acad Forestry & Grassland, Kunming 650201, Yunnan, Peoples R China; [Meng, Guangtao] Yunnan Key Lab Biodivers Gaoligong Mt, Kunming 650201, Yunnan, Peoples R China; [Meng, Guangtao] Gaoligong Mt Forest Ecosyst Observat & Res Stn Yun, Kunming 650201, Yunnan, Peoples R China								0							Forestry	WOS:001108760800001		
J	Li, Di; Liang, Longfei; Dong, Qidi; Wang, Ruijue; Xu, Tao; Qu, Ling; Wu, Zhiwei; Lyu, Bingyang; Liu, Shiliang; Chen, Qibing								Significant Dynamic Disturbance of Water Environment Quality in Urban Rivers Flowing through Industrial Areas								WATER				15	20					3640	10.3390/w15203640			OCT 2023	2023	The urban water environment is seriously affected by human activities. Rivers in highly industrialized areas, which often carry various types of industrial pollutants, such as metals and nutrients, are especially affected. In this study, the water quality of the Pi River, an industrial base that flows through Chengdu, a large city in Southwest China, was tested for one year. Heavy metal concentrations in the water, sediment, and macrobenthic and algal communities in the river were examined. The water pollution index (WPI) and trophic level index (TLI) were employed to measure the water pollution degree and eutrophication status, respectively. The Shannon-Wiener index (H') and Margalef's index (dM) were determined to represent the diversity and richness of macroinvertebrates. The principal component analysis (PCA) was employed to define the main heavy metal influencing factors in the Pi River. Our study showed that the eutrophication status increased with spatial change, and the eutrophication status was the most serious in the downstream reach, which was moderately eutrophic. The water body of the Pi River was seriously polluted by heavy metals, and the content of chromium (Cr) in the sediment and cadmium (Cd) in the water/sediment was far beyond the prescribed limit. In addition, we found that Cd had a serious impact on both the benthic and algal communities, and the benthic community structure was completely changed, destroying the original aquatic environment. We explored the mechanisms of the influence of Cd on aquatic fauna, and this information is of great significance for the future conservation of industrial urban rivers. In this study, the spatial-temporal variations in water quality and aquatic communities revealed the pollution status of a river flowing through industrial areas, which provided a basis for future river conservation and restoration.		[Li, Di; Liang, Longfei; Xu, Tao; Qu, Ling] Hubei Key Lab Resource & Ecol Environm Geol, Wuhan 430034, Peoples R China; [Li, Di; Liang, Longfei; Xu, Tao; Qu, Ling] Geophys Explorat Brigade Hubei Geol Bur, Wuhan 430100, Peoples R China; [Li, Di; Dong, Qidi; Lyu, Bingyang; Liu, Shiliang; Chen, Qibing] Sichuan Agr Univ, Coll Landscape Architecture, Chengdu 611130, Peoples R China; [Dong, Qidi] Xihua Univ, Sch Art & Design, Chengdu 610039, Peoples R China; [Wang, Ruijue] Chengdu Polytech, Tourism Sch, Chengdu 610093, Peoples R China; [Wu, Zhiwei] China Univ Geosci Wuhan, Fac Engn, Wuhan 430100, Peoples R China; [Liu, Shiliang] Sichuan Yuze Xscape Landscape Planning & Design Co, Chengdu 610093, Peoples R China; [Lyu, Bingyang; Liu, Shiliang] Sichuan Agr Univ, Coll Landscape Architecture, Chengdu 611130, Peoples R China; [Liu, Shiliang] Sichuan Yuze Xscape Landscape Planning & Design Co, Chengdu 610093, Peoples R China								0							Environmental Sciences; Water Resources	WOS:001093705100001		
J	Alghanem, S. M. S.; Alhaithloul, H. A. S.								SPECIES DIVERSITY AND FLORISTIC COMPOSITION OF RAWDHAT ABALWOROOD VEGETATION IN AL-ASYAH, AL- QASSIM REGION, SAUDI ARABIA								APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH								4703	4719		10.15666/aeer/2105_47034719				2023	Rawdhat Abalworood in Al-Qassim region of Saudi Arabia is one of the most important rawdhats of this area. The present study provides insight of vegetation types, life forms, as well as floristic categories and species distribution, highlighting the ecological factors that influence species distribution. A total of 44 species representing 19 families of vascular plants were recorded. The dominating groups were Asteraceae and Brassicaceae, and the dominant life forms were therophytes and chamaephytes, displaying a typical desert life-form range. Two of the eighteen studied sites had the maximum species richness value of 15 species per plot. Five of the 18 sites studied had the lowest species richness assessing of 10 species per plot. The most frequent life form classes observed in Rawdhat Abalworood, Al-Asyah, Al-Qassim region were Therophytes (Th) and Chamaephytes (Ch), with 65.91% and 15.91%, respectively. Chorological analysis exhibited Saharo-Sindian (SA-SI) and Irano-Turanian-Saharo-Sindian (IR-TR+SASI) represented by 20.45% and 18.18, respectively. Chronologically, surveyed plant species were recognized into three categories; mono regional, bi regional, and pluri regional. The three chorological categories were represented by 31.81%, 50.0%, and 18.18%; respectively. Species diversity in terms of Margalef's diversity index (Figure 6A) ranged between 1.6 to 2.6 with an average of 2.1 to 0.3, Shannon-Weiner diversity index (Figure 6D) showed close diversity levels as Margalef's and ranged between 1.6 to 2.4 with an average of 2.1. Using CCA multivariate analysis effect of 6 environmental factors is distinguished upon vegetation. The CCA ordination revealed that the separation of Vegetation group III along the axis was influenced by Silt, WHC, OM, OC, and Clay, whereas VG II was substantially related to sand%.		[Alghanem, S. M. S.] Qassim Univ, Coll Sci, Dept Biol, Buraydah, Saudi Arabia; [Alhaithloul, H. A. S.] Jouf Univ, Coll Sci, Biol Dept, Sakaka 2014, Saudi Arabia; [Alhaithloul, H. A. S.] Jouf Univ, Coll Sci, Biol Dept, Sakaka 2014, Saudi Arabia								0							Ecology; Environmental Sciences	WOS:001092169200001		
J	He, Shan; Xu, Jijun; Yi, Yujun; Zhang, Enze								Variations in Aquatic Vegetation Diversity Responses to Water Level Sequences during Drought in Lakes under Uncertain Conditions								WATER				15	13					2395	10.3390/w15132395			JUL 2023	2023	Water level variability and temporal change are critical for shaping the structure of aquatic vegetation. Much research has examined the response of aquatic vegetation to hydrological metrics. However, the hydrological sequence is a fundamental driver of aquatic ecosystem structure and function. Given the aleatory uncertainty of future water levels under an unstable climate, how aquatic vegetation responds to changing dynamics in hydrological processes, especially shifting water level sequences, remains insufficiently explored. In this paper, we establish an evaluation framework to study the response of vegetation diversity to variation in water level sequences during a drought event. To do this, the uncertainty and variability of water level processes are both considered. Altering water level processes was achieved using two types of scenarios in order to explore the effects of differing water level sequences (i.e., changing the order of high vs. low water levels) on the probability distribution of four indexes of aquatic plant diversity (e.g., Margalef's, Simpson's, Shannon's, and Pielou's evenness index). Our results show that altering the order of water level state can lead to differences in the diversity of aquatic vegetation, with a pronounced impact on vegetation complexity. This suggests that the specific sequence of water level events is critical for shaping aquatic vegetation structure. In addition, we found that a uniform distribution of water level state is beneficial for enhancing a species' dominance in aquatic vegetation. Our findings provide guidance for improving the future development of freshwater ecosystem protection and lake management.		[He, Shan; Xu, Jijun] Changjiang Water Resources Commiss, Changjiang River Sci Res Inst, 23 Huangpu Rd, Wuhan 430010, Peoples R China; [He, Shan] Tsinghua Univ, Dept Hydraul Engn, State Key Lab Hydrosci & Engn, Beijing 100084, Peoples R China; [He, Shan; Xu, Jijun] Hubei Key Lab Water Resources & Ecoenvironm Sci, Wuhan 430010, Peoples R China; [Yi, Yujun] Beijing Normal Univ, Sch Environm, State Key Lab Water Environm Simulat, 19 Xinjiekouwai St, Beijing 100875, Peoples R China; [Zhang, Enze] Beijing Univ Technol, Fac Architecture Civil & Transportat Engn, Beijing 100124, Peoples R China; [He, Shan] Changjiang Water Resources Commiss, Changjiang River Sci Res Inst, 23 Huangpu Rd, Wuhan 430010, Peoples R China; [He, Shan] Tsinghua Univ, Dept Hydraul Engn, State Key Lab Hydrosci & Engn, Beijing 100084, Peoples R China; [He, Shan] Hubei Key Lab Water Resources & Ecoenvironm Sci, Wuhan 430010, Peoples R China								0							Environmental Sciences; Water Resources	WOS:001028549000001		
J	Mehal, Kulwinder Kaur; Sharma, Aditi; Kaur, Amarpreet; Kalia, Neha; Kohli, Ravinder Kumar; Singh, Harminder Pal; Batish, Daizy R.								Modelling the ecological impact of invasive weed <i>Verbesina encelioides</i> on vegetation composition across dryland ecosystems of Punjab, northwestern India								ENVIRONMENTAL MONITORING AND ASSESSMENT				195	6					725	10.1007/s10661-023-11299-2			JUN 2023	2023	Events of climate change have led to increased aridification, which alters local vegetation patterns and results in the invasion of opportunistic species. Though many studies assess the impact of invasive weeds and aridification at the agronomic level, studies investigating changes in local vegetation are severely lacking. We investigated the impact of the invasive plant Verbesina encelioides (Asteraceae) on the local vegetation composition across different dryland ecosystems in Punjab, northwestern India. Based on the aridity index for the period of 1991-2016, three major dryland ecosystems, i.e., arid, semi-arid, and sub-humid, were found in Punjab. The impact of V. encelioides on local biodiversity was measured in terms of species diversity (using Shannon's diversity index, Simpson's dominance index, Hill's evenness index, and Margalef's richness index), species composition (using non-metric multidimensional scaling based on Bray-Curtis's dissimilarity index), and species proportion in the two invasion classes (uninvaded and invaded) and across the three aridity zones (arid, semi-arid, and sub-humid). The vegetation survey depicted the presence of 53 flowering species belonging to 22 families, including 30 exotics and 23 natives. Verbesina encelioides decreased species diversity and proportion, with a more pronounced impact in arid and semi-arid ecosystems. In contrast, species composition varied between uninvaded and invaded classes only in arid ecosystems. Ecological parameters derived from population statistics (number of individuals) were more drastically affected than those from species abundance data. Since the ecological impacts of V. encelioides were manifested with increased aridification, it is a matter of apprehension under the potential climate change scenario.		[Mehal, Kulwinder Kaur; Sharma, Aditi; Kaur, Amarpreet; Kalia, Neha; Batish, Daizy R.] Panjab Univ, Dept Bot, Chandigarh 160014, India; [Kohli, Ravinder Kumar] Amity Univ, Int Airport Rd Sect 82A, Mohali 140306, Punjab, India; [Singh, Harminder Pal] Panjab Univ, Dept Environm Studies, Chandigarh 160014, India; [Singh, Harminder Pal] Panjab Univ, Dept Environm Studies, Chandigarh 160014, India								2							Environmental Sciences	WOS:000995363900005		
J	Semere, Tesfakiros; Fjellheim, Siri; Tsehaye, Yemane; Westengen, Ola T.								Inventory of on-farm sorghum landrace diversity and climate adaptation in Tigray, Northern Ethiopia: implications for sorghum breeding and conservation								GENETIC RESOURCES AND CROP EVOLUTION				70	8			2755	2772		10.1007/s10722-023-01604-w			DEC 2023	2023	The study was conducted with the aim of inventorying and assessing the level of sorghum landraces richness, estimating the extent and patterns of phenotypic diversity, identifying race type, and predicting suitable areas of production using future climate scenarios in Tigray, Northern Ethiopia. Overall, 358 landraces from 125 independent farmers' fields in 20 districts belonging to four zones of Tigray were surveyed. Landraces richness, frequency of character states, and diversity levels were estimated via Margalef's, Menhinick's and Shannon-Weaver (H ') indices for each zone and altitude classes. Suitable areas for sorghum cultivation in the future were predicted using DIVA-GIS. Altogether, 140 distinctly named landraces were identified and collected. Southern zone has the highest richness (D-Mg = 10.74, D-Mn = 5.0) followed by central (D-Mg = 8.54, D-Mn = 3.80). The estimated H ' for the phenotypic character states ranged from 0.24 (seed form) to 0.95 (rachis branch length). Highest diversity estimate was found in northwest (H ' = 0.71) followed by central zone (H ' = 0.64). Respectively, H ' was 0.70, 0.68, and 0.61 in lowland, intermediate, and highland elevations. In general, lowlands of northwest, central, and southern zones are identified as potential sites for germplasm conservation and utilization. The races durra, bicolor, caudatum, and durra-bicolor were found with durra as the dominant race (79%). All the currently surveyed areas and many other sites in Tigray are predicted to be suitable for future sorghum production under the changing climate scenario. Copies of all the 358 sorghum landraces are deposited in the national gene bank for use in future sorghum breeding work. The wealth of sorghum landraces diversity could be used in sorghum improvement programs.		[Semere, Tesfakiros] Mekelle Univ, Dept Biotechnol, Mekelle, Ethiopia; [Semere, Tesfakiros; Fjellheim, Siri] Norwegian Univ Life Sci NMBU, Dept Plant Sci IPV, As, Norway; [Tsehaye, Yemane] Mekelle Univ, Dept Dryland Crops & Hort Sci, Mekelle, Ethiopia; [Westengen, Ola T.] Norwegian Univ Life Sci NMBU, Dept Int Environm & Dev Studies Noragr, As, Norway; [Westengen, Ola T.] Norwegian Univ Life Sci NMBU, Dept Int Environm & Dev Studies Noragr, As, Norway								1							Agronomy; Plant Sciences	WOS:000996918200001		
