PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	He, Hu; Li, Yan; Peng, Kai; Zhang, You; Rutter, Robert P.; Jyvasjarvi, Jussi; Hamalainen, Heikki; Kelly, David; Chase, Jonathan M.; Ntislidou, Chrysoula; Loskutova, Olga; Alcocer, Javier; Jovem-Azevedo, Daniele; Molozzi, Joseline; Wang, Jianjun; Zhang, Min; Li, Kuanyi; Liu, Zhengwen; Johansson, Liselotte S.; Sondergaard, Martin; Cai, Yongjiu; Wang, Haijun; Jeppesen, Erik								Climate-associated variation in the drivers of benthic macroinvertebrate species-area relationships across shallow freshwater lakes								JOURNAL OF ANIMAL ECOLOGY				93	1			57	70		10.1111/1365-2656.14028			JAN 2024	2024	1. The island species-area relationship (ISAR) describes how species richness increases with increasing area of a given island or island-like habitat, such as freshwater lakes. While the ISAR is one of the most common phenomena observed in ecology, there is variation in both the form of the relationship and its underlying mechanisms.2. We compiled a global data set of benthic macroinvertebrates from 524 shallow freshwater lakes, ranging from 1 to 293,300 ha in area. We used individual-based rarefaction to determine the degree to which ISAR was influenced by mechanisms other than passive sampling (larger islands passively sample more individuals from the regional pool and, therefore, have more species than smaller islands), which would bias results away from expected relationships between rarefied species richness (and other measures that capture relative abundances) and lake area. We also examined how climate may alter the shape of the ISARs.3. We found that both rarefied species richness (the number of species standardized by area or number of individuals) and a measure of evenness emphasizing common species exhibit shallow slopes in relationships with lake area, suggesting that the expected ISARs in these lakes most likely result from passive sampling. While there was considerable variation among ISARs across the investigated lakes, we found an overall positive rarefied ISAR for lakes in warm (i.e. tropical/subtropical) regions (n = 195), and in contrast, an overall negative rarefied ISAR in cool (i.e. north temperate) lakes (n = 329). This suggested that mechanisms beyond passive sampling (e.g. colonization-extinction dynamics and/or heterogeneity) were more likely to operate in warm lakes. One possible reason for this difference is that the area-dependent intensity of fish predation, which can lead to flatter ISARs, is weaker in warmer relative to cooler lakes.4. Our study illustrates the importance of understanding both the pattern and potential processes underlying the ISARs of freshwater lakes in different climatic regions. Furthermore, it provides a baseline for understanding how further changes to the ecosystem (i.e. in lake area or climate) might influence biodiversity patterns.		[He, Hu; Peng, Kai; Zhang, You; Wang, Jianjun; Zhang, Min; Li, Kuanyi; Liu, Zhengwen; Cai, Yongjiu] Chinese Acad Sci, Nanjing Inst Geog & Limnol, Nanjing, Peoples R China; [He, Hu] Chuzhou Univ, Sch Civil Engn & Architecture, Chuzhou, Peoples R China; [Li, Yan] Chinese Acad Sci, Inst Hydrobiol, Wuhan, Peoples R China; [Rutter, Robert P.] Charlotte Cty Dept Environm Serv, Port Charlotte, FL USA; [Jyvasjarvi, Jussi] Univ Oulu, Ecol & Genet Res Unit, Oulu, Finland; [Hamalainen, Heikki] Univ Jyvaskyla, Dept Biol & Environm Sci, Jyvaskyla, Finland; [Kelly, David] Cawthron Inst, Nelson, New Zealand; [Chase, Jonathan M.] German Ctr Integrat Biodivers Res iDiv, Leipzig, Germany; [Chase, Jonathan M.] Martin Luther Univ Halle Wittenberg, Inst Comp Sci, Halle, Saale, Germany; [Ntislidou, Chrysoula] Aristotle Univ Thessaloniki, Sch Biol, Dept Zool, Thessaloniki, Greece; [Loskutova, Olga] Russian Acad Sci, Komi Sci Ctr, Inst Biol, Ural Branch, Syktyvkar, Russia; [Alcocer, Javier] Univ Nacl Autonoma Mexico, FES Iztacala, Grp Invest Limnol Trop, Tlalnepantla, Mexico; [Jovem-Azevedo, Daniele] Inst Fed Sertao Pernambucano, Petrolina, Brazil; [Molozzi, Joseline] Univ Estadual Paraiba, Programa Posgrad Ecol & Conservacao, Campina Grande, PB, Brazil; [Liu, Zhengwen; Johansson, Liselotte S.; Sondergaard, Martin; Jeppesen, Erik] Univ Chinese Acad Sci, Sino Danish Coll, Sino Danish Ctr Educ & Res, Beijing, Peoples R China; [Liu, Zhengwen] Jinan Univ, Dept Ecol, Guangzhou, Peoples R China; [Liu, Zhengwen] Jinan Univ, Inst Hydrobiol, Guangzhou, Peoples R China; [Johansson, Liselotte S.; Sondergaard, Martin; Jeppesen, Erik] Aarhus Univ, Dept Ecosci, Aarhus, Denmark; [Wang, Haijun; Jeppesen, Erik] Yunnan Univ, Inst Ecol Res & Pollut Control Plateau Lakes, Sch Ecol & Environm Sci, Kunming, Peoples R China; [Jeppesen, Erik] Middle East Tech Univ, Ctr Ecosyst Res & Implementat, Dept Biol Sci, Limnol Lab, Ankara, Turkiye; [He, Hu] Chinese Acad Sci, Nanjing Inst Geog & Limnol, Nanjing, Peoples R China; [He, Hu] Chuzhou Univ, Sch Civil Engn & Architecture, Chuzhou, Peoples R China								0							Ecology; Zoology	WOS:001106352800001		
J	Chiu, Chun-Huo								Sample coverage estimation, rarefaction, and extrapolation based on sample-based abundance data								ECOLOGY				104	8					e4099	10.1002/ecy.4099			AUG 2023	2023	Sample coverage, the proportion of individuals that belong to observed species in a sample, is a metric used to measure the completeness of a sample. Rather than using equal sample sizes, equal sample coverage has become a widely accepted standard for comparing diversity across multiple assemblages, resulting in a more accurate representation of the true relationship between the richness of the assemblages. In practice, sample-based abundance data are the most frequently used data type for evaluating species diversity. In sample-based abundance data, the sampling unit (e.g., a plot, net, trap, or transect) is randomly selected from the target area, and the number of individuals for each species observed in the sampled unit is recorded. In this case, the individuals in the sample are no longer randomly and independently sampled, and the Good-Turing estimators of abundance-based sample coverage in reference, rarefied, and extrapolated samples may be severely biased when individuals present a highly spatially aggregated pattern. Here, I derive a novel estimator of abundance-based sample coverage based on the Good-Turing frequency formula. Additionally, a new analytical approach is introduced for enabling smooth coverage-based rarefaction and extrapolation to compare richness among assemblages. The near unbiasedness of the proposed estimator and a less biased richness ratio achieved using the newly developed coverage-based standardizing approach are demonstrated by analyzing three ForestGEO permanent forest plot data sets.		[Chiu, Chun-Huo] Natl Taiwan Univ, Dept Agron, Taipei, Taiwan; [Chiu, Chun-Huo] Natl Taiwan Univ, Dept Agron, Taipei, Taiwan								0							Ecology	WOS:001012816400001		
J	Nowakowska, J.; Cameron, D. R.; De Martino, A.; Kuhn, J.; Le Fresne-Languille, S.; Leuillet, S.; Amouzou, Y.; Wittke, F.; Carton, T.; Le Vacon, F.; Chaves, R. L.; Nicolas-Metral, V; Vuagniaux, G.								Evaluation of the microbiota-sparing properties of the anti-staphylococcal antibiotic afabicin								JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY				78	8			1900	1908		10.1093/jac/dkad181			AUG 2 2023	2023	Background Antibiotic use is associated with collateral damage to the healthy microbiota. Afabicin is a first-in-class prodrug inhibitor of the FabI enzyme that, when converted to the pharmacologically active agent afabicin desphosphono, demonstrates a staphylococcal-specific spectrum of activity. An expected benefit of highly targeted antibiotics such as afabicin is microbiome preservation. Objectives To compare the effects of oral treatment with afabicin and standard-of-care antibiotics upon the murine gut microbiota, and to assess the effects of oral afabicin treatment on the human gut microbiota. Methods Gut microbiota effects of a 10 day oral course of afabicin treatment were monitored in mice and compared with clindamycin, linezolid and moxifloxacin at human-equivalent dose levels using 16S rDNA sequencing. Further, the gut microbiota of healthy volunteers was longitudinally assessed across 20 days of oral treatment with afabicin 240 mg twice daily. Results Afabicin treatment did not significantly alter gut microbiota diversity (Shannon H index) or richness (rarefied Chao1) in mice. Only limited changes to taxonomic abundances were observed in afabicin-treated animals. In contrast, clindamycin, linezolid and moxifloxacin each caused extensive dysbiosis in the murine model. In humans, afabicin treatment was not associated with alterations in Shannon H or rarefied Chao1 indices, nor relative taxonomic abundances, supporting the findings from the animal model. Conclusions Oral treatment with afabicin is associated with preservation of the gut microbiota in mice and healthy subjects.		[Nowakowska, J.; Cameron, D. R.; Kuhn, J.; Nicolas-Metral, V; Vuagniaux, G.] Debiopharm Int SA, Translat Med Dept, Chemin Messidor 5-7, CH-1006 Lausanne, Switzerland; [De Martino, A.; Le Fresne-Languille, S.; Leuillet, S.; Amouzou, Y.; Carton, T.; Le Vacon, F.] Biofortis SAS, Res & Dev Dept, 3 Route Chatterie, F-44800 St Herblain, France; [Wittke, F.; Chaves, R. L.] Debiopharm Int SA, Clin Dev Dept, Chemin Messidor 5-7, CH-1006 Lausanne, Switzerland; [Cameron, D. R.] Debiopharm Int SA, Translat Med Dept, Chemin Messidor 5-7, CH-1006 Lausanne, Switzerland								1							Infectious Diseases; Microbiology; Pharmacology & Pharmacy	WOS:001003434800001		
J	Esquivel, M. Jimena; Vilchez-Mendoza, Sergio; Harvey, Celia A.; Ospina, Mayra A.; Somarriba, Eduardo; Deheuvels, Olivier; de M. Virginio Filho, Elias; Haggar, Jeremy; Detlefsen, Guillermo; Cerdan, Carlos; Casanoves, Fernando; Ordonez, Jenny C.								Patterns of shade plant diversity in four agroforestry systems across Central America: a meta-analysis								SCIENTIFIC REPORTS				13	1					8538	10.1038/s41598-023-35578-7			MAY 26 2023	2023	Agroforestry systems can potentially increase tree diversity within agricultural landscapes, but to date, there is little understanding of the patterns of shade plant diversity within different agroforestry systems (AFS) at large spatial scales. Using compiled plant inventory data (from 23 sources, 2517 plots, and 148,255 individuals) encompassing four AFS (shaded coffee; shaded cocoa; dispersed trees on pastures; and live fences) across six countries in Central America we estimated different metrics of diversity to assess the conservation value of different AFS for shade plants. 458 shade plant species were recorded across the four agroforestry systems. Primary forest species accounted for 28% of the shade species recorded, but only 6% of the recorded individuals. No single AFS was consistently the most diverse across countries when considering rarefied species richness. Trees on pastures can potentially reach a similar species richness as cocoa and coffee systems but require sampled areas 7-30 times larger. In terms of composition, 29 species were shared across the agroforestry systems in different countries, illustrating the strong selection pressure of farmers for species that provide timber, firewood, and fruit. Our study highlights the potential contribution and limitations of different AFS for tree diversity conservation within agricultural landscapes.		[Esquivel, M. Jimena; Vilchez-Mendoza, Sergio; Ospina, Mayra A.; Somarriba, Eduardo; de M. Virginio Filho, Elias; Detlefsen, Guillermo; Casanoves, Fernando] CATIE Ctr Agron Trop Invest & Ensenanza, Turrialba 30501, Costa Rica; [Esquivel, M. Jimena] Wageningen Univ, Dept Anim Sci, Anim Prod Syst Grp APS, NL-6708 WD Wageningen, Netherlands; [Esquivel, M. Jimena] Leiden Univ, Inst Environm Sci CML, Environm Biol, NL-2333 CC Leiden, Netherlands; [Esquivel, M. Jimena] CIPAV, Ctr Invest Sistemas Sostenibles Prod Agr, Cra 25 6-62, Cali, Colombia; [Harvey, Celia A.] Monteverde Inst, Puntarenas 695655, Costa Rica; [Deheuvels, Olivier] Univ Montpellier, Inst Agro, CIRAD, UMR ABSys,CIHEAM IAMM,INRAE, F-34398 Montpellier, France; [Deheuvels, Olivier] CIRAD, UMR ABSys, Santo Domingo 10126, Dominican Rep; [Haggar, Jeremy] Univ Greenwich, Nat Resources Inst, Fac Engn & Sci, Medway Campus,Cent Ave Chatham Maritime, Gillingham ME4 4TB, Kent, England; [Cerdan, Carlos] Univ Veracruzana, Fac Ciencias Agr, Lomas Estadio S-N, Xalapa 91000, Veracruz, Mexico; [Casanoves, Fernando] Univ Amazonia, Grp Invest Agroecosistemas & Conservac Bosques Ama, Florencia, Colombia; [Ordonez, Jenny C.] Univ Amer, Carrera Ingn Agroind, Quito, Ecuador; [Ordonez, Jenny C.] Word Agroforestry Ctr ICRAF Latin Amer, DID, CATIE 7170, Turrialba 30501, Costa Rica; [Ordonez, Jenny C.] Univ Amer, Carrera Ingn Agroind, Quito, Ecuador; [Ordonez, Jenny C.] Word Agroforestry Ctr ICRAF Latin Amer, DID, CATIE 7170, Turrialba 30501, Costa Rica								0							Multidisciplinary Sciences	WOS:001001070500055		
J	Chen, Ying; Zhao, Peng; Xu, Qiaochu; Qu, Bingjie; Li, Dan; Clement, Sarah; Li, Li								Relating biodiversity with health disparities of human population: An ecological study across the United States								ONE HEALTH				16						100548	10.1016/j.onehlt.2023.100548			JUN 2023	2023	Understanding biodiversity's contributions to human health is the first step toward fostering synergies between biodiversity conservation and health promotion - two major targets of UN's Sustainable Development Goals. The One Health approach acknowledges the health of people and biodiversity are interconnected and facing common threats. In this study, we aimed to unveil the geographical association between avian biodiversity and population health across the US. In this ecological study, we combined citizen science bird data from eBird, population health data from the Institute for Health Metrics and Evaluation, and county-level statistics of population characteristics, including socio-economics, healthcare service etc. Multivariate linear regression analyses were performed between bird biodiversity (measured by rarefied species richness of birds), key indicators of general public health (e.g., cause-specific mortality rate), and socio-economic health determinants of 2751 US counties. We found that a higher number of bird species was significantly associated with longer life expectancy after confounding adjustment (regression coefficient (95% CIs), 0.005 (0.003, 0.008)). Bird species richness calculated using the rarefied method consistently accounted for variance in age-specific mortality risks in both very young and old age groups (R2 from 2% to 4%). Rarefied species richness of birds was negatively correlated with the majority of cause-specific deaths (12 out of 21 mutually exclusive causes of death), indicating a general synergy effect between biodiversity and human health. The associations with the top causes of deaths were regarded as highly significant, with considerable effect sizes, for example, for cardiovascular diseases (regression coefficient (95% CIs), -0.242 (-0.311, -0.174)). Our findings show human health is inseparable from the health of the shared environment and the well-being of all species. Bird species richness offers a valuable means to understand large-scale relationships between human health and the health of the environment. To enable equitable sharing of biodiversity's benefits to human health, more efforts should be made to understand two-way socio-ecological mechanism underlying human-biodiversity interactions.		[Chen, Ying; Xu, Qiaochu] Xian Jiaotong Liverpool Univ, Wisdom Lake Acad Pharm, Suzhou 215123, Peoples R China; [Zhao, Peng; Qu, Bingjie; Li, Dan; Li, Li] Xian Jiaotong Liverpool Univ, Dept Hlth & Environm Sci, Suzhou 215123, Peoples R China; [Qu, Bingjie] Univ Liverpool, Inst Syst Mol & Integrat Biol, Fac Hlth & Life Sci, Liverpool, England; [Clement, Sarah] Australian Natl Univ, Fenner Sch Environm & Soc, Canberra 2601, Australia; [Clement, Sarah] Univ Liverpool, Sch Environm Sci, Dept Geog & Planning, Liverpool, England; [Li, Li] Xian Jiaotong Liverpool Univ, Dept Hlth & Environm Sci, Suzhou 215123, Peoples R China								0							Public, Environmental & Occupational Health; Infectious Diseases	WOS:001041951800001		
J	Rozak, Andes Hamuraby; Kusuma, Yayan Wahyu Candra; Junaedi, Decky Indrawan								Co-benefits of biomass and biodiversity in a protected mountain forest of West Java, Indonesia								IFOREST-BIOGEOSCIENCES AND FORESTRY				16				62	69		10.3832/ifor4068-015[online2023-03-05			APR 2023	2023	Tropical mountain forests are relatively less disturbed and store a large amount of carbon in tree biomass. A high level of species diversity compared to the boreal and temperate forests is also maintained and indicates a positive relationship with tree biomass on a small scale or at plot level. This study aimed to estimate above-ground biomass stocks (AGB) and disentangle the in-fluence of forest structure and attributes on AGB in a small mountain forest. Forty 400 m2 plots were randomly established in Takokak Nature Reserve (TNR), a 60-ha protected area at an elevation between 1150-1560 m a.s.l., lo-cated in West Java, Indonesia. All trees within the plot were identified, and their respective diameter at breast height (DBH) was measured. AGB was cal-culated using a global allometric model. Five independent variables, i.e., stem density, stem density of large trees (DBH >50 cm), community weighted mean wood density, rarefied species richness, and Fisher's alpha index, were ana-lysed using a linear model. Our results showed that AGB in TNR was compara-ble to other forest types in Indonesia and acted as carbon storage in the moun-tain regions. AGB in the TNR reached 486 Mg ha-1, of which 75% was contrib-uted by large trees (DBH >50 cm). Three species, i.e., Liquidambar excelsa (Altingiaceae), Schima wallichii (Theaceae), and Lithocarpus sp. (Fagaceae), represent at least 70% of the total biomass in the study site. We also found that forest structures and traits, i.e., stem density, stem density of large trees, and community weighted mean wood density, drive AGB variations but not tree diversity indices. However, although diversity indices were not corre-lated to AGB, we found that TNR is home for endemic and threatened species on the IUCN Red List. Therefore, we suggest that the management strategies of the tropical forests should include both the conservation of the carbon stock and biodiversity.		[Rozak, Andes Hamuraby] Natl Res & Innovat Agcy BRIN, Res Ctr Plant Conservat Bot Gardens & Forestry, Kusnoto Bldg, Jl Ir H Juanda 18, Bogor 16122, West Java, Indonesia; [Kusuma, Yayan Wahyu Candra; Junaedi, Decky Indrawan] Nat Res & Innovat Agcy BRIN, Res Ctr Ecol & Ethnobiol, Kawasan Sains dan Teknol Dr, Jl Jakarta Bogor Km 4, Bogor 16911, West Java, Indonesia; [Rozak, Andes Hamuraby] Natl Res & Innovat Agcy BRIN, Res Ctr Plant Conservat Bot Gardens & Forestry, Kusnoto Bldg, Jl Ir H Juanda 18, Bogor 16122, West Java, Indonesia								0							Forestry	WOS:000991538300001		
J	Shi, Xiao-Yu; Orr, Michael; Luo, Arong; Wang, Ming-Qiang; Guo, Pengfei; Zhou, Qing-Song; Niu, Zeqing; Qiao, Huijie; Zou, Yi; Zhu, Chao-Dong								Optimizing low-cost sampling of pollinator insects in oilseed rape fields								FRONTIERS IN SUSTAINABLE FOOD SYSTEMS				7						1155458	10.3389/fsufs.2023.1155458			MAR 28 2023	2023	Insects are key pollinators to ecosystem function, but much work remains to determine the most cost-effective, reliable scheme to monitor them. Pan traps (PT) and flight interception traps (FIT) are two of the most popular insect sampling methods used. However, their relative sampling performance and cost is poorly known for agroecosystems in China. We conducted a study across 18 oilseed rape fields in smallholder farmland in Zhejiang, China using these two traps. Our results showed that a single FIT had a greater sampling efficiency (more individuals and higher species richness) than a single PT, but controlling for cost, four PTs (the cost for four PTs is close to one FIT) showed a greater sampling efficiency than FITs. PTs collected more small-bodied individuals while FITs and PTs did not significantly differ in terms of monitoring pollinator insects with large body size. When exploring whether semi-natural habitat embedded in the agricultural landscape affected these results, results from both trap types shows that semi-natural habitat had a significant positive impact on wild pollinator diversity and rarefied species richness. Future studies that examine the effects of agricultural landscape on the wild pollinator community should combine PTs with netting or other active methods for long-term wild pollinator monitoring strategies.		[Shi, Xiao-Yu; Orr, Michael; Luo, Arong; Zhou, Qing-Song; Niu, Zeqing; Zhu, Chao-Dong] Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Beijing, Peoples R China; [Wang, Ming-Qiang] Chinese Acad Sci, Chengdu Inst Biol, CAS Key Lab Mt Ecol Restorat & Bioresource Utiliza, Beijing, Peoples R China; [Wang, Ming-Qiang] Chinese Acad Sci, Chengdu Inst Biol, Ecol Restorat & Biodivers Conservat Key Lab Sichua, Beijing, Peoples R China; [Guo, Pengfei] Guizhou Univ Tradit Chinese Med, Coll Pharm, Guiyang, Peoples R China; [Qiao, Huijie] Chinese Acad Sci, Inst Zool, Key Lab Anim Ecol & Conservat Biol, Beijing, Peoples R China; [Zou, Yi] Xian Jiaotong Liverpool Univ, Dept Hlth & Environm Sci, Suzhou, Peoples R China; [Zhu, Chao-Dong] Chinese Acad Sci, Inst Zool, State Key Lab Integrated Pest Management, Beijing, Peoples R China; [Zhu, Chao-Dong] Univ Chinese Acad Sci, Coll Life Sci, Beijing, Peoples R China; [Zhu, Chao-Dong] Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Beijing, Peoples R China; [Zhu, Chao-Dong] Chinese Acad Sci, Inst Zool, State Key Lab Integrated Pest Management, Beijing, Peoples R China; [Zhu, Chao-Dong] Univ Chinese Acad Sci, Coll Life Sci, Beijing, Peoples R China								1							Food Science & Technology	WOS:000966455800001		
J	Luong, Justin C.; Press, Daniel M.; Holl, Karen D.								Lessons learned from an interdisciplinary evaluation of long-term restoration outcomes on 37 restored coastal grasslands in California								BIOLOGICAL CONSERVATION				280						109956	10.1016/j.biocon.2023.109956			APR 2023	2023	Governmental and non-governmental organizations spend considerable funding on restoring ecosystems to counter biodiversity loss, yet outcomes are often not assessed at a regional scale. Monitoring is done <= 5 years after project-implementation, if at all, and rarely assesses the effects of management practices on project success. We combined vegetation surveys and management interviews to compare long-term restoration outcomes of 37 California coastal grassland projects (5-33 y post-implementation) that spanned a 1000-km north-south gradient. We found that coastal grassland restoration is largely successful at reaching project goals (95 %) and a standard performance metric (80 %) to restore native cover, but land managers preferentially use a small number of welltested, "high success" species, potentially at the expense of regional diversity. Medium and high maintenance intensity resulted in lower non-native cover and improved native cover and rarefied native richness. Managers of voluntary (non-statutory) sites were more open to assessing outcomes and spent less per hectare compared to legally mandated (statutory) projects but achieved similar plant cover and even higher rarefied richness. Statutory project managers indicated that regulatory agencies sometimes lowered compliance goals for native cover if the initial targets were not met. Additional funding for greater maintenance intensity and incorporating more locally distinctive species (i.e., endemic or range-restricted) may help counteract potential unintended consequences from preferential plant selection, and inter-agency coordination of species selection could reduce biotic homogenization. We recommend delegating funds to a third-party monitoring group to ensure legally mandated compliance and consistency in assessment.		[Luong, Justin C.; Holl, Karen D.] Univ Calif Santa Cruz, Environm Studies Dept, 1156 High St, Santa Cruz, CA 95064 USA; [Luong, Justin C.] Univ Calif Davis, Plant Sci Dept, 1 Shields Ave, Davis, CA 95616 USA; [Press, Daniel M.] Santa Clara Univ, Environm Studies & Sci, 500 Camino Real, Santa Clara, CA 95053 USA; [Luong, Justin C.] 1 Harpst St, Arcata, CA 95521 USA; [Luong, Justin C.] 1 Harpst St, Arcata, CA 95521 USA								1							Biodiversity Conservation; Ecology; Environmental Sciences	WOS:000944718300001		
J	Kornan, Martin								Temporal patterns of breeding bird assemblages in small urban parks reveal relatively low stability and asynchrony								COMMUNITY ECOLOGY				24	1			99	111		10.1007/s42974-023-00133-x			APR 2023	2023	Parks serve as biodiversity centers in urban habitats and significantly affect the abundance and persistence of local bird populations. I examined bird assemblage stability, biodiversity, qualitative and quantitative composition, species turnover, changes in species ranking and composition, overall stability and synchrony in relation to park size in three small parks in the Town of Zvolen, Slovakia. Bird censuses were conducted by the combined version of the mapping method in 2014-2018. The mean species density and the total assemblage density were significantly different among parks and tended to decrease with increasing park size. The rarefied species richness and diversity measures within and between parks showed no or only very few significant differences in the five-year time series, but tended to be significantly higher in the larger parks at least in some years. The Sorensen (incidence) index-based clustering (UPGMA and cluster optimalization) almost perfectly divided year samples into three groups corresponding to the park sites, while the Horn (dominance) index only into two. None of the three species turnover metrics showed consistent patterns among parks, yet the highest mean total turnover was detected in the smallest park. Rate of assemblage changes showed decreasing trend with the increasing park size. The highest value of the assemblage stability metric was also found in the largest park. Bird assemblages showed relatively high degree of asynchrony in species abundances over time. These results indicate relatively low temporal stability, not strict boundaries and asynchrony of bird assemblages of these small parks.		[Kornan, Martin] Tech Univ Zvolen, Fac Forestry, Dept Appl Zool & Wildlife Management, Zvolen 96001, Slovakia; [Kornan, Martin] Ctr Ecol Studies, Ustredie 14, Velke Rovne 01362, Slovakia; [Kornan, Martin] Tech Univ Zvolen, Fac Forestry, Dept Appl Zool & Wildlife Management, Zvolen 96001, Slovakia; [Kornan, Martin] Ctr Ecol Studies, Ustredie 14, Velke Rovne 01362, Slovakia								0							Ecology	WOS:000928530000001		
J	Zou, Yi; Zhao, Peng; Axmacher, Jan Christoph								Estimating total species richness: Fitting rarefaction by asymptotic approximation								ECOSPHERE				14	1					e4363	10.1002/ecs2.4363			JAN 2023	2023	Estimating the number of species in a community is important for assessments of biodiversity. Previous species richness estimators are mainly based on nonparametric approaches. Although parametric asymptotic models have been applied, they received limited attention due to specific limitations. Here, we introduce parametric models fitting the probability-based rarefied species richness curve that allow us to estimate the "Total Expected Species" (TES) in a community based on species' abundance data. We develop two approaches to calculate TES (termed "TESa" and "TESb"), based on two slightly different mathematical assumptions regarding Expected Species (ES) models. We provide R functions to calculate both these estimation approaches and their standard deviation. The function also enables users to visualize the estimation. We test the performance of TESa, TESb, and their average (TESab) across simulated and empirical data, and compare their bias, precision, and accuracy with other commonly used, nonparametric species richness estimators: the bias-corrected (bc-)Chao1 and the abundance-based coverage estimator (ACE). Simulation reveals that in small samples TESa shows a tendency to overestimate and TESb to underestimate overall species richness. TESab performs well in bias, precision, and accuracy when compared with (bc-)Chao1 and ACE estimators. Results from empirical data show that the variance generated from TES estimates is comparable with that for (bc-)Chao1 and ACE. Our study demonstrates that rarefaction theory in combination with parametric approximation models provides a valuable new approach to estimate the species richness of incompletely sampled communities. Robust estimates are likely to be obtained where the observed number of species is greater than half of the TES estimation. When the ratio of TESa to the observed richness is >> 2, we suggest the use of TESb or TESab. Although more comprehensive comparisons with other estimators are suggested, we encourage researchers to consider the TES approach in their biodiversity studies as a complement to current existing estimators.		[Zou, Yi; Zhao, Peng] Xian Jiaotong Liverpool Univ, Dept Hlth & Environm Sci, Suzhou, Peoples R China; [Axmacher, Jan Christoph] UCL, UCL Dept Geog, London, England; [Zou, Yi] Xian Jiaotong Liverpool Univ, Dept Hlth & Environm Sci, Suzhou, Peoples R China								3							Ecology	WOS:000920346200001		
