PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Shaheen, Hamayun; Attique, Arbaz; Riaz, Malik Talha; Manzoor, Muhammad; Khan, Raja Waqar Ahmed; Riaz, Muhammad Tayyib								From biodiversity hotspot to conservation hotspot: assessing distribution, population structure, associated flora and habitat geography of threatened Himalayan Yew in temperate forest ecosystems of Kashmir								BIODIVERSITY AND CONSERVATION				33	2			553	577		10.1007/s10531-023-02758-w			FEB 2024	2024	The Himalayan Yew (Taxus wallichiana Zucc.) holds a pivotal role in the delicate ecosystems of the moist temperate forests in the Himalayan region, boasting substantial conservation value. The current study was designed to investigate the distribution pattern, community structure, phytosociological attributes, associated flora and conservation of Taxus wallichiana in the temperate forests of the state of Azad Jammu and Kashmir (AJK) Pakistan. Objectives included the creation of GIS-based maps for a detailed representation of Taxus wallichiana distribution in AJK and the identification of its highly fragmented and rapidly dwindling habitats for strategic conservation management. Data was meticulously gathered from 51 temperate forest sites across 6 districts in AJK using quadrate-based systematic sampling. Site selection was based on thorough preliminary surveys of Yew populations in the region. Yew populations at the sampled sites exhibited an average stem density of 371 trees/ha with average basal area cover of 132.12 cm. The species showed extremely low regeneration of 3.35/ha. Floristic inventory revealed a total of 154 plant species belonging to 113 Genera and 50 families as associated flora in the Taxus wallichiana populations. The average values of Simpson's diversity index were recorded as 0.97, Shannon's Diversity as 3.71, Menhinick's species richness as 1.21, Pielou's species evenness as 2.13 whereas community maturity index was 54.26%. Analysis of Life form and Leaf size classes showed that herbaceous Hemicryptophytic microphyllous taxa dominated the local flora. GIS analysis revealed North Facing slopes with moderate degree of steepness and having concave curvature in the moist temperate forest zone as the main habitat of the Taxus wallichiana. Digital Elevation Model (DEM) showed that the species was distributed in an altitudinal range of 1900-2800 m. Significant levels of deforestation recorded as 3.18 Yew stumps/ha synchronized with over grazing and erosion in the study area posing serious threat to the Taxus populations which can lead to local extinction of this species. Through GIS analysis, we precisely mapped both robust and imperiled Taxus populations in AJK, offering vital insights for the conservation management of this species. Cluster Analysis and Pearson's correlation revealed significant associations among the investigated variables and sampling sites. We urgently recommend immediate conservation measures to safeguard the imperiled Yew populations in the AJK region.		[Shaheen, Hamayun; Attique, Arbaz; Manzoor, Muhammad; Khan, Raja Waqar Ahmed] Univ Azad Jammu & Kashmir, Dept Bot, Muzaffarabad 13100, Pakistan; [Riaz, Malik Talha; Riaz, Muhammad Tayyib] Univ Azad Jammu & Kashmir, Inst Geol, Muzaffarabad 13100, Pakistan; [Shaheen, Hamayun] Univ Azad Jammu & Kashmir, Dept Bot, Muzaffarabad 13100, Pakistan								0							Biodiversity Conservation; Ecology; Environmental Sciences	WOS:001137584200001		
J	Cao, Xueren; Han, Qiaohui; Xiao, Ying; He, Junjun; Chuan, Xiangxian; Jiang, Guizhi; West, Jonathan S.; Xu, Xiangming								Population Genetic Structure of the Rubber Tree Powdery Mildew Pathogen (<i>Erysiphe quercicola</i>) from China								PLANT DISEASE				108	1			62	70		10.1094/PDIS-03-23-0575-RE			JAN 2 2024	2024	In order to manage agricultural pathogens, it is crucial to understand the population structure underlying epidemics. Rubber tree powdery mildew, caused by Erysiphe quercicola, is a serious threat to rubber plantations worldwide, especially in subtropical environments including all rubber tree-growing regions in China. However, the population structure of the pathogen is uncertain. In this study, 16 polymorphic microsatellite markers were used to genotype powdery mildew samples from the main rubber tree-growing regions including Yunnan (YN), Hainan (HN), western Guangdong (WG), and eastern Guangdong (EG). YN had higher genotypic diversity (Simpson's indices), genotypic evenness, Nei's gene diversity, allelic richness, and private allelic richness than the other regions. Cluster analysis, discriminant analysis of principal components, pairwise divergence, and shared multilocus genotype analyses all showed that YN differed significantly from the other regions. The genetic differentiation was small among the other three regions (HN, WG, and EG). Analysis of molecular variance indicated that the variability among regions accounted for 22.37% of the total variability. Genetic differentiation was significantly positively correlated (R-xy = 0.772, P = 0.001) with geographic distance. Linkage equilibrium analysis suggested possible occurrence of sexual recombination although asexual reproduction predominates in E. quercicola. The results suggested that although significant genetic differentiation of E. quercicola occurred between YN and the other regions, pathogen populations from the other three regions lacked genetic differentiation.		[Cao, Xueren; Han, Qiaohui; Xiao, Ying] Chinese Acad Trop Agr Sci, Environm & Plant Protect Inst, Key Lab Integrated Pest Management Trop Crops, Hainan Key Lab Monitoring & Control Trop Agr Pests, Haikou 571101, Peoples R China; [Han, Qiaohui] State Key Lab Breeding Base Green Pesticide & Agr, Guiyang 550025, Peoples R China; [Han, Qiaohui] Minist Educ, Key Lab Green Pesticide & Agr Bioengn, Guiyang 550025, Peoples R China; [Han, Qiaohui] Guizhou Univ, Guiyang 550025, Peoples R China; [Xiao, Ying] Huazhong Agr Univ, Coll Plant Sci & Technol, Wuhan 430070, Peoples R China; [He, Junjun] Chinese Acad Trop Agr Sci, Zhanjiang Expt Stn, Zhanjiang 524031, Peoples R China; [Chuan, Xiangxian] Dehong Trop Agr Res Inst Yunnan, Ruili 678600, Peoples R China; [Jiang, Guizhi] Yunnan Inst Trop Crops, Jinghong 666100, Peoples R China; [West, Jonathan S.] Rothamsted Res, Harpenden AL5 2JQ, England; [Xu, Xiangming] NIAB, East Malling ME19 6BJ, Kent, England; [Cao, Xueren] Chinese Acad Trop Agr Sci, Environm & Plant Protect Inst, Key Lab Integrated Pest Management Trop Crops, Hainan Key Lab Monitoring & Control Trop Agr Pests, Haikou 571101, Peoples R China; [Xu, Xiangming] NIAB, East Malling ME19 6BJ, Kent, England								0							Plant Sciences	WOS:001135129700001		
J	Ontomwa, Mary Binsari; Kimani, Edward Ndirui; Fulanda, Bernerd Mulwa; Nyamweya, Chrisphine Sangara								Longline pelagic fishery assemblage in Kenya's exclusive economic zone marine waters								MARINE POLICY				160						105989	10.1016/j.marpol.2023.105989			FEB 2024	2024	Fisheries catch data is important for monitoring and assessing anthropogenic and natural impacts on fish communities. Information on fish assemblages and diversity in the Western Indian Ocean region is limited complicating management of the fisheries. In this study, we determined longline catch rates, species diversity indices, species richness, and species evenness for fish assemblages of Kenya's exclusive economic zone (EEZ) through experimental surveys conducted using a commercial Fishing Vessel (FV) between April and October 2020. A total of 110 sets were conducted where 4217 specimens of 50 species and 23 families were caught. The catches were mainly composed of Xiphias gladius (70.2%), Prionace glauca (7.8%), and Thunnus obesus (4.4%). About 15.0% of the catches were discarded of which 11.3% comprised of fish no commercial value. High levels of endangered, threatened and protected species forming 5.5% of the catches were observed. Catch rates were high for the dominant species in the three zones and differed significantly between months. Species abundance, richness, Shannon-Weiner diversity, and Simpson's diversity indices were highest at the nearshore zone and during August. However, the diversity indices were not statistically different both for the zones and months. The nearshore zone exhibited higher species assemblages and greater species richness compared to other zones. This suggests the importance of prioritizing conservation efforts in the nearshore zone, as it serves as a critical habitat for diverse fish populations. Implementing protective measures can help preserve the biodiversity and sustainability of fish assemblages in the nearshore zone.		[Ontomwa, Mary Binsari; Kimani, Edward Ndirui] Kenya Marine & Fisheries Res Inst, POB 81651-80100, Mombasa, Kenya; [Ontomwa, Mary Binsari; Fulanda, Bernerd Mulwa] Pwani Univ, POB 195-80108, Kilifi, Kenya; [Nyamweya, Chrisphine Sangara] Kenya Marine & Fisheries Res Inst, Kisumu Res Ctr, POB 1881-40100, Kisumu 40100, Kenya; [Ontomwa, Mary Binsari] Kenya Marine & Fisheries Res Inst, POB 81651-80100, Mombasa, Kenya								0							Environmental Studies; International Relations	WOS:001147623000001		
J	Belete, Mulugeta Dadi								Ecohydrological nature-based solution for climate resilience and biodiversity enhancement in water-limited ecosystem: Perspectives and proof of concepts								ECOHYDROLOGY & HYDROBIOLOGY				23	4			507	517		10.1016/j.ecohyd.2023.08.011			OCT 2023	2023	Following the declaration of the UN Decade on Ecosystem Restoration, nature-based solutions (NbS) are at the forefront of the sustainability discourse. However, this solution needs operational clarity to avoid the commonly mentioned vagueness of the concept. This paper highlighted application of the ecohydrological principles to guide the conception, planning, designing, implementation, and monitoring of nature-based solutions. The paper proposed an ecohydrological nature-based solution that is emanated from the natural sequence of self-regulating patch-interpatch at the hillslope scale to restore highly degraded hillslope in Lake Hawassa sub-basin of Ethiopian Rift Valley Basin. The active restoration site is found to have a landscape organization index value of 0.94 (= 94% of the gradsect is consisting of resources conserving patches) as compared to 0.16 at the passive site. In terms of landscape functionality, the active site showed significant stability (p(x 0.01), infiltration (p(x 0.001), and nutrient cycling (p(x 0.005). It also exhibited significant improvement in soil moisture (p(x 0.001). Ecologically, the active site is found to be more diverse (richness index 18 (active) vs. 8 (passive); heterogeneous (Shannon diversity index = 1.22 (active) vs. 0.44 (passive)); well distributed (Simpson's index= 0.62 (active) vs. 0.28 (passive)); less dominance of few species (Evenness index (0.99 (passive) vs. 0.96 (active)). Limitation of this study is linked with the short span of the restoration period which tends to be not adequate to observe the full 'dual' regulation between hydrology and biota. For this, the research can be considered as a prerequisite towards full restoration of the landscape.(c) 2023 European Regional Centre for Ecohydrology of the Polish Academy of Sciences. Published by Elsevier B.V. All rights reserved.		[Belete, Mulugeta Dadi] Hawassa Univ, Inst Technol, Fac Biosyst & Water Resources Engn, POB 005, Hawassa, Ethiopia; [Belete, Mulugeta Dadi] Hawassa Univ, Inst Technol, Fac Biosyst & Water Resources Engn, POB 005, Hawassa, Ethiopia								0							Ecology; Water Resources	WOS:001139860200001		
J	Mellisse, Beyene Teklu; Tolera, Motuma; Derese, Ararsa								Traditional homegardens change to perennial monocropping of khat (Catha edulis) reduced woody species and enset conservation and climate change mitigation potentials of the Wondo Genet landscape of southern Ethiopia								HELIYON				10	1					e23631	10.1016/j.heliyon.2023.e23631			JAN 15 2024	2024	Smallholder farmers in the Wondo Genet were forced to switch from long-standing, diverse traditional home gardens to monoculture khat production due to increasing population pressureinduced farmland constraints. The composition of woody species and the biomass carbon stock are thought to drop as homegardens transition from polyculture to monoculture; however there is little quantitative evidence to support this claim. This study was started to assess the effects on woody species, enset, and biomass carbon of converting traditional homegardens to a fast spreading perennial monocropping of khat (Catha edulis Forskal). In 10 m x 10 m (100m2) plots from 43 farms with neighboring land use patterns for each homegarden and khat, woody species and enset were inventoried, the total number of tree, shrub, and enset species counted, as well as the height and diameter of each species measured. To determine the biomass carbon stock of each land use type, both general and species-specific allometric equations are used. Simpson's diversity index, Shannon-Wiener, and Shannon equitability were used to evaluate the diversity of enset and woody species. There were 27 different types of woody species identified, with trees making up 67 % of the total and shrubs accounting for 33 %. Shannon, Simpson, and the richness of woody species all decreased by 46 %, 51 %, and 38 %, respectively, in comparison to residential gardens. For homegardens and khat, respectively, the mean Evenness values were 0.876 and 0.539. In homegardens, Coffea arabica was the most valuable woody species, followed by Cordia africana Lam, Persea americana, Eucalyptus camaldulensis, and Grevillea Robusta. In contrast, Catha edulis was the most valuable woody species in the Khat land use type, followed by Coffea arabica, Croton macrostachyus Del, and Cordia africana. In comparison to homegardens, the aboveground, below-ground, and total biomass carbon reported in khat land use types were reduced by 18 %, 63 %, and 42 %, respectively. Grevillea and Eucalyptus species made up 51 % of the total biomass carbon stock in the homegardens, which suggests that khat and quickly expanding fast-growing plants have displaced native woody species.Understanding the long-term effects of agro-biodiversity loss requires greater research on the implications of the decline in woody species diversity and biomass carbon stock on soil fertility and sustainable farming. This is due to the numerous functions that woody species and enset play.		[Mellisse, Beyene Teklu; Tolera, Motuma; Derese, Ararsa] Hawassa Univ, Wondo Genet Coll Forestry & Nat Resources, POB 128, Shashemene, Ethiopia; [Mellisse, Beyene Teklu] Hawassa Univ, Wondo Genet Coll Forestry & Nat Resources, POB 128, Shashemene, Ethiopia								0							Multidisciplinary Sciences	WOS:001138508800001		
J	Wang, Li; Liu, Jiarui; Bao, Zhen; Ma, Xufa; Shen, Hong; Chen, Jun; Xie, Ping								Predictable shifts in diversity and ecosystem function in phytoplankton and zooplankton communities along thermocline stratification intensity continua								SCIENCE OF THE TOTAL ENVIRONMENT				912						168981	10.1016/j.scitotenv.2023.168981			FEB 20 2024	2024	Thermocline stratification is a global threat to water quality in drinking water reservoirs, though its underlying mechanisms are not clear. The impacts of thermocline stratification intensity on biodiversity-ecosystem relationships were assessed using phytoplankton and zooplankton indicators from four stages of stratification in Lake Qiandaohu. There were significant differences in biomass, species diversity, and resource use efficiency (RUEpp = phytoplankton biomass/total phosphorus) for phytoplankton between continuous stratification and mixing periods, but only in FDis and RaoQ diversity indices for zooplankton. Phytoplankton species diversity and RUE were higher in the formative and stable periods, while zooplankton species diversity and zooplankton biomass/phytoplankton biomass (RUEzp) were lower. When combining the data from the four periods, a negative linear pattern was found between phytoplankton Simpson's, functional dispersion (FDis), and Rao's Quadratic (RaoQ) diversity indices, and thermocline depth (TD). Only zooplankton FDis and RaoQ diversity indices were significantly positively related to TD. Phytoplankton RUE was significantly negatively related only to its Pielou's evenness (J) diversity, while zooplankton RUE was significantly negatively related to its J, FDis, and RaoQ diversity indices. The results of structural equation models (SEMs) showed that the R2 of RUE for		[Wang, Li; Liu, Jiarui; Shen, Hong; Chen, Jun; Xie, Ping] Chinese Acad Sci, Inst Hydrobiol, State Key Lab Freshwater Ecol & Biotechnol, Donghu Expt Stn Lake Ecosyst, Wuhan 430072, Peoples R China; [Wang, Li; Ma, Xufa] Huazhong Agr Univ, Coll Fisheries, Wuhan 430070, Peoples R China; [Bao, Zhen] Hangzhou Ecol Environm Monitoring Ctr Zhejiang, Hangzhou 31000, Peoples R China; [Xie, Ping] Chinese Acad Sci, Inst Hydrobiol, State Key Lab Freshwater Ecol & Biotechnol, Donghu Expt Stn Lake Ecosyst, Wuhan 430072, Peoples R China								1							Environmental Sciences	WOS:001138875900001		
J	Dong, Hangna; Chen, Yu; Huang, Xiancheng								A new framework for analysis of the spatial patterns of 15-minute neighbourhood green space to enhance carbon sequestration performance: A case study in Nanjing, China								ECOLOGICAL INDICATORS				156						111196	10.1016/j.ecolind.2023.111196			DEC 1 2023	2023	As the most fundamental unit of urban development, the performance of green space carbon sequestration in neighborhoods is, therefore, a crucial factor in the pursuit of carbon neutrality. Consequently, studying the performance of carbon sequestration from the spatial structure of green spaces in conjunction with the recreational features of the neighborhood is urgent and necessary. Herein, for the first time, we combined four types of indicators, namely carbon sequestration, green space spatial structure, natural environment, and human activities, using three types of 15-minute neighborhoods in the Nanjing metropolitan area as an example. As observed, the area indicator percentage of landscape (PLAND) contributed directly to the carbon sequestration of green areas and also influenced the carbon sequestration by affecting the average normalized vegetation index (NDVI) level; the shape indicator Simpson's evenness index (SIEI) not only helped to reduce the average temperature in the neighborhood but also improved the average NDVI level, both of which can contribute to carbon sequestration; the aggregation indicators aggregation index (AI) had no direct effect on the carbon sequestration performance but contributed to it by lowering the temperature. Thus, the current study revealed the mechanism by which the spatial characteristics of residential green spaces influenced carbon sequestration and proposed a new direction for future sustainable urban development.		[Dong, Hangna; Chen, Yu] Nanjing Agr Univ, Dept Landscape Architecture, Nanjing 210095, Peoples R China; [Dong, Hangna; Chen, Yu] Nanjing Agr Univ, Natl Key Lab Crop Genet & Germplasm Enhancement, Nanjing 210095, Peoples R China; [Huang, Xiancheng] Boston Coll, Morrissey Coll Arts & Sci, Dept Engn, 140 Commonwealth Ave, Chestnut Hill, MA 02467 USA; [Chen, Yu] Nanjing Agr Univ, Dept Landscape Architecture, Nanjing 210095, Peoples R China; [Chen, Yu] Nanjing Agr Univ, Natl Key Lab Crop Genet & Germplasm Enhancement, Nanjing 210095, Peoples R China								0							Biodiversity Conservation; Environmental Sciences	WOS:001116530800001		
J	Tang, Zhonglin; Wang, Yuting; Fu, Min; Xue, Jingyue								The role of land use landscape patterns in the carbon emission reduction: Empirical evidence from China								ECOLOGICAL INDICATORS				156						111176	10.1016/j.ecolind.2023.111176			DEC 1 2023	2023	The regulation of land use landscape patterns to achieve carbon reduction in pursuit of carbon neutrality has not received sufficient attention. Existing studies have largely focused on specific land use types, such as urban built-up areas. As a result, such studies lack comprehensive regional research, hindering the formulation of integrated carbon reduction policies and sustainable land use planning. Taking the Yangtze River Economic Belt as the study object, this study constructs a quantitative analysis framework that conducts regional land use carbon emission evaluation, landscape pattern analysis, dynamic correlation examination, and measures their respective mechanisms. The results indicate that cropland in the Yangtze River Economic Belt has progressively decreased over the last 20 years (-3.32 %), whilst wetland areas have experienced slow growth (1.81 %) and built-up land has expanded significantly (90.14 %) over the same period. Except for the Interspersion and juxtaposition index (IJI) and Modified Simpson's evenness index (MEISI), other indices exhibit a decreasing trend with distinct temporal characteristics. By designing and deploying an annual panel regression model, this study quantifies the impact of land use and landscape pattern changes on carbon emissions from a regional perspective. The results reveal that lower levels of landscape heterogeneity and fragmentation and a lower concentration of urban built-up land are conducive to carbon reduction; contrastingly, a decrease in landscape complexity and connectivity increases carbon emissions. Finally, recommendations are put forward regarding land use landscape patterns under the framework of carbon neutrality.		[Tang, Zhonglin; Wang, Yuting; Xue, Jingyue] Chongqing Technol & Business Univ, Res Ctr Econ Upper Reaches Yangtze River, Chongqing, Peoples R China; [Tang, Zhonglin; Wang, Yuting; Xue, Jingyue] Chongqing Technol & Business Univ, Sch Econ, Chongqing, Peoples R China; [Tang, Zhonglin; Wang, Yuting; Xue, Jingyue] Chongqing Technol & Business Univ, Inst Reg Econ Studies, Chongqing, Peoples R China; [Fu, Min] Chongqing Ind Polytech Coll, Sch Elect & IoT Engn, Chongqing, Peoples R China; [Tang, Zhonglin] Chongqing Technol & Business Univ, Res Ctr Econ Upper Reaches Yangtze River, Chongqing, Peoples R China; [Tang, Zhonglin] Chongqing Technol & Business Univ, Sch Econ, Chongqing, Peoples R China; [Tang, Zhonglin] Chongqing Technol & Business Univ, Inst Reg Econ Studies, Chongqing, Peoples R China								3							Biodiversity Conservation; Environmental Sciences	WOS:001108933800001		
J	Demie, Gadisa; Negash, Mesele; Asrat, Zerihun; Bohdan, Lojka								Perennial plant species composition and diversity in relation to socioecological variables and agroforestry practices in central Ethiopia								AGROFORESTRY SYSTEMS				98	2			461	476		10.1007/s10457-023-00924-1			FEB 2024	2024	Tropical deforestation and forest degradation have resulted in substantial losses of goods and services and a decline in the quality of life. Agroforestry is a viable land-use option to counteract such declines in ecosystem services, including biodiversity and supporting local livelihoods. However, it is unclear how socioecological factors mediate these roles, which hinders the implementation of initiatives to conserve biodiversity. This study aimed to investigate perennial plant species composition and diversity in relation to socioecological variables and agroforestry practices in central Ethiopia. The vegetation data were collected from 243 sample farms that belonged to 81 randomly chosen households from nine kebeles. Across all practices, 92 plant species from 75 genera and 46 families were identified. Of these, 77% were native plant species, and the remaining were exotic ones. Margalef species richness and the Shannon diversity index were both significantly higher (p < 0.05) in homegardens and middle elevations. Furthermore, species richness and the Shannon diversity index were positively and significantly related to slope, farm size, farm age, and wealth status. Parklands, lowland altitude, and younger farms had the highest Simpson's evenness, whereas wealth status, farm size, and slope had no significant association with Simpson's evenness. Overall, this study showed that agroforestry serves as a refuge for native species and helps reverse species loss in natural forests. However, native species are gradually being replaced with exotic species, compromising the integrity of agricultural landscapes. Our study also emphasizes the urgent need to consider socioecological factors when examining biodiversity and planning agricultural landscape management strategies.		[Demie, Gadisa] Ambo Univ, Coll Agr & Vet Sci, POB 19, Ambo, Ethiopia; [Negash, Mesele; Asrat, Zerihun] Hawassa Univ, Wondo Genet Coll Forestry & Nat Resources, POB 128, Shashemene, Ethiopia; [Bohdan, Lojka] Czech Univ Life Sci Prague, Fac Trop AgriSci, Dept Crop Sci & Agroforestry, Kamycka 129, Prague 165 6, Czech Republic; [Demie, Gadisa] Ambo Univ, Coll Agr & Vet Sci, POB 19, Ambo, Ethiopia								0							Agronomy; Forestry	WOS:001099812500002		
J	Geldenhuys, Conrad; van der Merwe, Helga; van Rooyen, Margaretha W.								Vegetation response to grazing and drought (13 yr) in a conservation area in the Succulent Karoo, South Africa								JOURNAL OF ARID ENVIRONMENTS				219						105093	10.1016/j.jaridenv.2023.105093			DEC 2023	2023	Rangelands of arid ecosystems are driven by internal and external environmental controls. Grazing pressure is an important anthropogenic driver, but stochastic environmental events such as rainfall variability and prolonged drought can have profound effects on arid vegetation. We investigated the effect of a prolonged drought and initial high grazing pressure on range condition, perennial vegetation cover, life form cover, vegetation composition and vegetation diversity at five monitoring sites in a conservation area in arid Succulent Karoo vegetation. The response of the rocky mountainous vegetation to drought and grazing differed notably from the response of the sandy plains vegetation. Range condition and perennial vegetation cover reduced drastically in all habitats, although the extent of deterioration was less in the mountainous habitats. Annual vegetation cover was associated with inter-annual rainfall variability. Species richness decreased at three of five sites, whereas species evenness increased at three of five sites. Shannon-Wiener index of diversity and Simpson's diversity index trends were inconsistent. Vegetation composition changed directionally from a quasi-stable state in all five monitoring sites as the drought persisted. The extent of the change was less in mountainous habitats indicating potentially higher resilience than in plains habitats, though grazing pressure was lower in the mountains than on the plains over the study period. The existence of quasi-stable states, together with the observed directional changes in vegetation composition in response to both drought and grazing, indicated that both equilibrium and non-equilibrium vegetation dynamics apply.		[Geldenhuys, Conrad] Northern Cape Dept Agr Environm Affairs, Rural Dev & Land Reform, POB 325, Springbok, South Africa; [van der Merwe, Helga; van Rooyen, Margaretha W.] South African Environm Observat Network SAEON, Arid Lands Node, Kimberley, South Africa; [van der Merwe, Helga] Univ Cape Town, Dept Biol Sci, Cape Town, South Africa; [van Rooyen, Margaretha W.] Univ Pretoria, Dept Plant & Soil Sci, Pretoria, South Africa; [Geldenhuys, Conrad] Northern Cape Dept Agr Environm Affairs, Rural Dev & Land Reform, POB 325, Springbok, South Africa								0							Ecology; Environmental Sciences	WOS:001111546200001		
