PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Loubota Panzou, Grace Jopaul; Mankessi, Francois; Tsiba Ngambou, Floriane Celia; Douh, Chauvelin; Ndzai, Saint Fedriche; Nzala, Donatien; Koubouana, Felix								Natural forest regeneration over a fallow age chronosequence in central African moist forests								AFRICAN JOURNAL OF ECOLOGY				62	2					e13255	10.1111/aje.13255			FEB 2024	2024	A better understanding of the natural regeneration in tropical forests could help develop more effective restoration strategies. This study examined relationships in structural and diversity attributes of natural regeneration in five forest fallow ages after slash-and-burn agriculture (6 months, 2 years, 5 years, 10 years, and 15 years) in the Republic of Congo. For each fallow age, all stems with a diameter >= 1 cm and below 5 cm (height >= 130 cm), corresponding to natural forest regeneration, were identified to the species level, and measured (diameter and height) in 12 plots (10 m x 10 m). Three structural attributes (stem density, maximum diameter, and maximum height) and five diversity indices (species richness, Shannon diversity, Simpson diversity, Fisher's alpha and Pielou's evenness) were estimated at the plot level. Our results revealed an increase in structural and diversity attributes with fallow ages, except stem density. The young fallow (6 months, 2 years and 5 years) had greater stem density (61 +/- 48 stems), while the old fallow (10 years and 15 years) had higher maximum height (5.39 +/- 2.36 m) and Shannon's index (0.94 +/- 0.18). These results provided new insights into natural regeneration between young and old secondary forests. Une meilleure comprehension de la regeneration naturelle dans les forets tropicales pourrait aider a developper des strategies de restauration plus efficaces. Cette etude a examine les relations entre les attributs structurels et de diversite de la regeneration naturelle dans cinq ages de jachere forestiere apres l'agriculture sur brulis (6 mois, 2 ans, 5 ans, 10 ans et 15 ans) en Republique du Congo. Pour chaque age de jachere, toutes les tiges d'un diametre >= 1 cm et inferieur a 5 cm (hauteur >= 130 cm), correspondant a la regeneration naturelle de la foret, ont ete identifiees au niveau de l'espece et mesurees (diametre et hauteur) dans 12 parcelles (10 m x 10 m). Trois attributs structurels (densite des tiges, diametre maximal et hauteur maximale) et cinq indices de diversite (richesse des especes, diversite de Shannon, diversite de Simpson, alpha de Fisher et regularite de Pielou) ont ete estimes au niveau de la parcelle. Nos resultats ont revele une augmentation des attributs structurels et de la diversite avec l'age de la jachere, a l'exception de la densite des tiges. Les jeunes jacheres (6 mois, 2 ans et 5 ans) avaient une plus grande densite de tiges (61 +/- 48 tiges), tandis que les vieilles jacheres (10 ans et 15 ans) avaient une hauteur maximale plus elevee (5,39 +/- 2,36 m) et un indice de Shannon plus eleve (0,94 +/- 0,18). Ces resultats ont permis de mieux comprendre la regeneration naturelle entre les jeunes et les vieilles forets secondaires.		[Loubota Panzou, Grace Jopaul] Univ Denis Sassou Nguesso, Inst Super Sci Geograph Environm & Amenagement ISS, Kintele, Rep Congo; [Loubota Panzou, Grace Jopaul] Univ Marien Ngouabi, Fac Sci & Tech, Lab Biodivers Gest Ecosyst & Environm LBGE, Brazzaville, Rep Congo; [Mankessi, Francois; Tsiba Ngambou, Floriane Celia; Douh, Chauvelin; Ndzai, Saint Fedriche; Nzala, Donatien; Koubouana, Felix] Univ Marien Ngouabi, Ecole Natl Super Agron & Foresterie ENSAF, Brazzaville, Rep Congo; [Loubota Panzou, Grace Jopaul] Univ Denis Sassou Nguesso, Inst Super Sci Geograph Environm & Amenagement ISS, Kintele, Rep Congo								0							Ecology	WOS:001160440200001		
J	Lawson, Lauren; Edge, Christopher B.; Fortin, Marie-Josee; Jackson, Donald A.								Temporal change in urban fish biodiversity-Gains, losses, and drivers of change								ECOLOGY AND EVOLUTION				14	2					e10845	10.1002/ece3.10845			FEB 2024	2024	Our aim was to examine temporal change in alpha and beta diversity of freshwater fish communities in rivers that have urbanized over the same period to understand the influence of changes in land use and river connectivity on community change. We used biological (2001-2018), land use (2000-2015), and connectivity data (1987-2017) from Toronto, Ontario, Canada. We used linear mixed effects models to determine the strength of upstream land use, connectivity, and their changes over time to explain temporal change in alpha and beta diversity indices. We examined beta diversity using the temporal beta diversity index (TBI) to assess site-specific community change. The TBI was partitioned into gains and losses, and species-specific changes in abundance were assessed using paired t-tests. There were more gains than losses across the study sites as measured by TBI. We found little to no significant differences in species-specific abundances at aggregated spatial scales (study region, watershed, stream order). We found different relationships between landscape and connectivity variables with the biodiversity indices tested; however, almost all estimated confidence intervals overlapped with zero and had low goodness-of-fit. More fish biodiversity gains than losses were found across the study region, as measured by TBI. We found TBI to be a useful indicator of change as it identifies key sites to further investigate. We found two high value TBI sites gained non-native species, and one site shifted from a cool-water to warm-water species dominated community, both of which have management implications. Upstream catchment land use and connectivity had poor explanatory power for change in the measured biodiversity indices. Ultimately, such spatial-temporal datasets are invaluable and can reveal trends in biodiversity useful for environmental management when considering competing interests involved with urban sprawl in the ongoing "Decade on Restoration." We assess urban fish community change over time and drivers of change related to urbanization including land cover change and connectivity. Using the TBI, species richness, Pielou's evenness, and Shannon diversity, we find that land cover and connectivity do not effectively explain community change. Overall, the TBI suggests there are more gains than losses in fish communities through time.image		[Lawson, Lauren; Fortin, Marie-Josee; Jackson, Donald A.] Univ Toronto, Dept Ecol & Evolutionary Biol, 25 Willcocks St, Toronto, ON M5S 1A1, Canada; [Edge, Christopher B.] Nat Resources Canada, Canadian Forest Serv, Atlantic Forestry Ctr, Fredericton, NB, Canada; [Lawson, Lauren] Univ Toronto, Dept Ecol & Evolutionary Biol, 25 Willcocks St, Toronto, ON M5S 1A1, Canada								0							Ecology; Evolutionary Biology	WOS:001157123100001		
J	Mekhrovar, Okhonniyozov; Li, Yao-ming; Abdullo, Madaminov; Sino, Yusupov; Fan, Lianlian								Nutrient addition alters plant community productivity but not the species diversity of a mountain meadow in Tajikistan								FRONTIERS IN PLANT SCIENCE				14						1235388	10.3389/fpls.2023.1235388			JAN 15 2024	2024	Introduction: Tajikistan is a typical mountainous country covered by different mountain grasslands that are important pasture resources. Recently, grassland degradation has become widespread due to climate change and human activities and fertilization has been used to improve grassland production. However, fertilizer inputs can substantially alter species diversity, but it is uncl\ear how productivity and species diversity respond to nutrient enrichment in the mountain meadows of Tajikistan. Methods: Therefore, a 5-year (2018-2022) continuous in-situ mineral fertilizer experiment was conducted to examine the effects of three nitrogen (N) levels (0, 30, and 90 kg N ha(-1) year(-1)), two phosphorus (P) levels (0 and 30 kg P ha(-1) year(-1)), and their combinations on above-ground biomass (AGB) and species diversity in a mountain meadow grassland in Ziddi, Varzob region, Tajikistan. Five species diversity metrics-Margalef's species richness (D-ma), the Shannon-Wiener index (H), the Simpson index (C), Pielou's equitability index (E-pi), and the Evar Species Evenness index (E-var)-were used to measure species diversity. Results and discussions: The results indicated that the addition of different N and P amounts and their various combinations considerably increased both total and dominant species AGB, with the highest increase occurring in the N90P30 (90 kg N ha(-1) year(-1) combined with 30 kg P ha(-1) year(-1)) treatment in 2022; during the experiment, the importance value of Prangos pabularia (dominant species) first decreased and then increased, but its dominant status did not change or fluctuate among the years. Furthermore, N, P, and their different combinations had no significant effect on species diversity (D-ma, H, C, E-pi, and E-var). All the species diversity indexes fluctuated among years, but there was no interaction with mineral fertilizer addition. Total AGB had a negative relationship with species diversity and low concentration N fertilizer addition (N30; P30) strengthened this negative trend. However, this trend decreased under the high N fertilizer condition (N90P30). Overall, nutrient addition to the natural mountain grassland of the Varzob region improved AGB, which meant that there was more forage for local animals. Mineral fertilizers had no significant effect on species diversity, but may enhance P. pabularia dominance in the future, which will help maintain the stability of the plant community and improve the quality of the forage because P. pabularia is an excellent and important winter fodder. Our study suggests that scientific nutrient management could effectively promote grassland production, conserve plant variety, and regenerate degraded grassland, which will counteract the desertification process in northwest Tajikistan mountain meadows.		[Mekhrovar, Okhonniyozov; Li, Yao-ming; Fan, Lianlian] Chinese Acad Sci, Xinjiang Inst Ecol & Geog, State Key Lab Desert & Oasis Ecol, Urumqi, Peoples R China; [Mekhrovar, Okhonniyozov; Li, Yao-ming; Fan, Lianlian] Chinese Acad Sci, Res Ctr Ecol & Environm Cent Asia, Urumqi, Peoples R China; [Mekhrovar, Okhonniyozov; Li, Yao-ming] Res Ctr Ecol & Environm Cent Asia, Dushanbe, Tajikistan; [Mekhrovar, Okhonniyozov; Li, Yao-ming; Fan, Lianlian] Univ Chinese Acad Sci, Beijing, Peoples R China; [Abdullo, Madaminov; Sino, Yusupov] Inst Bot Physiol & Plant Genet, Acad Sci Republ Tajikistan, Dushanbe, Tajikistan; [Fan, Lianlian] Chinese Acad Sci, Xinjiang Inst Ecol & Geog, State Key Lab Desert & Oasis Ecol, Urumqi, Peoples R China; [Fan, Lianlian] Chinese Acad Sci, Res Ctr Ecol & Environm Cent Asia, Urumqi, Peoples R China; [Fan, Lianlian] Univ Chinese Acad Sci, Beijing, Peoples R China								0							Plant Sciences	WOS:001150746000001		
J	Shaheen, Hamayun; Attique, Arbaz; Riaz, Malik Talha; Manzoor, Muhammad; Khan, Raja Waqar Ahmed; Riaz, Muhammad Tayyib								From biodiversity hotspot to conservation hotspot: assessing distribution, population structure, associated flora and habitat geography of threatened Himalayan Yew in temperate forest ecosystems of Kashmir								BIODIVERSITY AND CONSERVATION				33	2			553	577		10.1007/s10531-023-02758-w			FEB 2024	2024	The Himalayan Yew (Taxus wallichiana Zucc.) holds a pivotal role in the delicate ecosystems of the moist temperate forests in the Himalayan region, boasting substantial conservation value. The current study was designed to investigate the distribution pattern, community structure, phytosociological attributes, associated flora and conservation of Taxus wallichiana in the temperate forests of the state of Azad Jammu and Kashmir (AJK) Pakistan. Objectives included the creation of GIS-based maps for a detailed representation of Taxus wallichiana distribution in AJK and the identification of its highly fragmented and rapidly dwindling habitats for strategic conservation management. Data was meticulously gathered from 51 temperate forest sites across 6 districts in AJK using quadrate-based systematic sampling. Site selection was based on thorough preliminary surveys of Yew populations in the region. Yew populations at the sampled sites exhibited an average stem density of 371 trees/ha with average basal area cover of 132.12 cm. The species showed extremely low regeneration of 3.35/ha. Floristic inventory revealed a total of 154 plant species belonging to 113 Genera and 50 families as associated flora in the Taxus wallichiana populations. The average values of Simpson's diversity index were recorded as 0.97, Shannon's Diversity as 3.71, Menhinick's species richness as 1.21, Pielou's species evenness as 2.13 whereas community maturity index was 54.26%. Analysis of Life form and Leaf size classes showed that herbaceous Hemicryptophytic microphyllous taxa dominated the local flora. GIS analysis revealed North Facing slopes with moderate degree of steepness and having concave curvature in the moist temperate forest zone as the main habitat of the Taxus wallichiana. Digital Elevation Model (DEM) showed that the species was distributed in an altitudinal range of 1900-2800 m. Significant levels of deforestation recorded as 3.18 Yew stumps/ha synchronized with over grazing and erosion in the study area posing serious threat to the Taxus populations which can lead to local extinction of this species. Through GIS analysis, we precisely mapped both robust and imperiled Taxus populations in AJK, offering vital insights for the conservation management of this species. Cluster Analysis and Pearson's correlation revealed significant associations among the investigated variables and sampling sites. We urgently recommend immediate conservation measures to safeguard the imperiled Yew populations in the AJK region.		[Shaheen, Hamayun; Attique, Arbaz; Manzoor, Muhammad; Khan, Raja Waqar Ahmed] Univ Azad Jammu & Kashmir, Dept Bot, Muzaffarabad 13100, Pakistan; [Riaz, Malik Talha; Riaz, Muhammad Tayyib] Univ Azad Jammu & Kashmir, Inst Geol, Muzaffarabad 13100, Pakistan; [Shaheen, Hamayun] Univ Azad Jammu & Kashmir, Dept Bot, Muzaffarabad 13100, Pakistan								0							Biodiversity Conservation; Ecology; Environmental Sciences	WOS:001137584200001		
J	Llanquin-Rosas, Francisco; Carcamo-Tejer, Violeta; Vila Pinto, Irma; Saez-Arteaga, Alberto; Correa-Araneda, Francisco; Guerrero-Jimenez, Claudia Jimena								Benthic macroinvertebrates community structure and physical-chemical characteristics at Lauca River Basin high altitude wetlands, Altiplano, Chile								LIMNETICA				43	1			129	144		10.23818/limn.43.09			2024	2024	High Andean freshwater ecosystems are highly threatened by scarce water availability, species invasion, and global climate change, so generating knowledge about their ecological characteristics is extremely important for conservation decision-making. In this work, the seasonal variations and relationships between physico-chemical variables and the structure and composition of the macroinvertebrate community were analyzed considering "season", "type of ecosystem" and "site" factors. Five sites of representative ecosystems at Lauca River Basin of the Chilean Altiplano were sampled, two of them lentic and three lotic. Two field-sampling periods within a year according to the pre- and post-rain seasons characteristic of the Altiplano climate were considered. Thirty-five taxa were identified, and it was observed that the taxa Orthocladiinae, Austrelmis sp., Hyallela cf kochi, Podonominae and Helicopsychidae were indicator taxa that contributed the most to differences among sites or ecosystems (>= 10 %.). No significant differences were found in the alpha diversity indicators used, except for some abundance values and Pielou's Evenness index (J '), which varied significantly between lotic and lentic systems. The results of the ordination analysis showed a significant differentiation considering physical and chemical variables and macroinvertebrates assemblages that responded to "sites" (ANOSIM R Global = 0.64, p = 0.001) and "type of ecosystem" factors (ANOSIM R Global = 0.31, p = 0.02). The "season" factor was not statistically significant to explain the variability of biological data (ANOSIM R Global = -0.003, p = 0.47) and was slight and marginally significant with the physical and chemical data (ANOSIM R Global = 0.1, p = 0.04). In addition, the linear redundancy analysis (RDA) showed that physico-chemical variables related to hardness, temperature, phosphorous, and nitrogen explained most of the variance in the biological data (the first two canonical axes RDA1 and RDA2 explained 45.23 % of the total variation, p = 0.004). These results support the relevance of local conditions for high altitude wetlands and how those environmental characteristics can be reflected in the macroinvertebrate assemblages that inhabit them.		[Llanquin-Rosas, Francisco; Carcamo-Tejer, Violeta; Vila Pinto, Irma] Univ Chile, Fac Ciencias, Dept Ciencias Ecol, Santiago 3425, Chile; [Saez-Arteaga, Alberto] Univ Catolica Temuco, Fac Recursos Nat, Ctr Invest Innovac & Creac UCT CIIC UCT, Dept Ciencias Agr & Acuicolas, Av Rudecindo Ortega 02950, Temuco, Chile; [Correa-Araneda, Francisco] Univ Autonoma Chile, Inst Iberoamer Desarrollo Sostenible IIDS, Unidad Cambio Climat & Medio Ambiente, Ave Alemania 01090, Temuco, Region De La Ar, Chile; [Guerrero-Jimenez, Claudia Jimena] Univ Autonoma Chile, Inst Ciencias Biomed, Ave Alemania 01090, Temuco, Chile; [Guerrero-Jimenez, Claudia Jimena] Univ Autonoma Chile, Inst Ciencias Biomed, Ave Alemania 01090, Temuco, Chile								0							Limnology; Marine & Freshwater Biology	WOS:001153331600009		
J	Wang, Li; Liu, Jiarui; Bao, Zhen; Ma, Xufa; Shen, Hong; Chen, Jun; Xie, Ping								Predictable shifts in diversity and ecosystem function in phytoplankton and zooplankton communities along thermocline stratification intensity continua								SCIENCE OF THE TOTAL ENVIRONMENT				912						168981	10.1016/j.scitotenv.2023.168981			FEB 20 2024	2024	Thermocline stratification is a global threat to water quality in drinking water reservoirs, though its underlying mechanisms are not clear. The impacts of thermocline stratification intensity on biodiversity-ecosystem relationships were assessed using phytoplankton and zooplankton indicators from four stages of stratification in Lake Qiandaohu. There were significant differences in biomass, species diversity, and resource use efficiency (RUEpp = phytoplankton biomass/total phosphorus) for phytoplankton between continuous stratification and mixing periods, but only in FDis and RaoQ diversity indices for zooplankton. Phytoplankton species diversity and RUE were higher in the formative and stable periods, while zooplankton species diversity and zooplankton biomass/phytoplankton biomass (RUEzp) were lower. When combining the data from the four periods, a negative linear pattern was found between phytoplankton Simpson's, functional dispersion (FDis), and Rao's Quadratic (RaoQ) diversity indices, and thermocline depth (TD). Only zooplankton FDis and RaoQ diversity indices were significantly positively related to TD. Phytoplankton RUE was significantly negatively related only to its Pielou's evenness (J) diversity, while zooplankton RUE was significantly negatively related to its J, FDis, and RaoQ diversity indices. The results of structural equation models (SEMs) showed that the R2 of RUE for		[Wang, Li; Liu, Jiarui; Shen, Hong; Chen, Jun; Xie, Ping] Chinese Acad Sci, Inst Hydrobiol, State Key Lab Freshwater Ecol & Biotechnol, Donghu Expt Stn Lake Ecosyst, Wuhan 430072, Peoples R China; [Wang, Li; Ma, Xufa] Huazhong Agr Univ, Coll Fisheries, Wuhan 430070, Peoples R China; [Bao, Zhen] Hangzhou Ecol Environm Monitoring Ctr Zhejiang, Hangzhou 31000, Peoples R China; [Xie, Ping] Chinese Acad Sci, Inst Hydrobiol, State Key Lab Freshwater Ecol & Biotechnol, Donghu Expt Stn Lake Ecosyst, Wuhan 430072, Peoples R China								1							Environmental Sciences	WOS:001138875900001		
J	Gad, Mahmoud; Cao, Meixian; Qin, Dan; Sun, Qian; Yu, Chang-Ping; Hu, Anyi								Development, validation, and application of a microbial community-based index of biotic integrity for assessing the ecological status of a peri-urban watershed in China								SCIENCE OF THE TOTAL ENVIRONMENT				910						168659	10.1016/j.scitotenv.2023.168659			FEB 1 2024	2024	This study represents the pioneering effort in employing 16S rRNA-bacteria and 18S rRNA-microeukaryotes to construct the microbial community-based index of biotic integrity (MC-IBI) for assessing the ecological health of riverine ecosystems. The MC-IBI was developed, validated, and implemented using water samples from the Changle River watershed, encompassing both wet and dry seasons. A total of 205 metrics, containing microbial diversity, composition, pollution tolerance/sensitivity, and functional categories, were selected as candidates for evaluation. Following a rigorous screening process, five core metrics were identified as key indicators, namely Pielou's evenness of microeukaryotes, %Cryptophyceae, %Proteobacteria, %Oxyphotobacteria, and % 16S rRNA gene-human pathogens. Moreover, redundancy analysis revealed three metrics (i.e., Pielou's evenness, % 16S rRNA gene-human pathogens, and % Proteobacteria) were positively correlated with impairment conditions. In contrast, two metrics (i.e., %Oxyphotobacteria and %Cryptophyceae) were associated positively with reference conditions. Notably, the developed MC-IBI demonstrates clear discrimination between reference and impaired sites and significantly correlates with environmental parameters and land use patterns. A path model analysis revealed that land use patterns (i.e., build-up land, cropland) negatively impacted the MC-IBI scores. The application of the MC-IBI method yielded an assessment of the ecological conditions at the 73 sampling locations within the Changle River watershed, assigning them into categories of "Very good" (4.1 %), "Good" (4.1 %), "Moderate" (5.5 %), "Poor" (21.9 %), and "Very poor" (64.4 %). This bioassessment framework presents an innovative approach toward the preservation, maintenance, and management of riverine ecosystems.		[Gad, Mahmoud; Cao, Meixian; Qin, Dan; Sun, Qian; Yu, Chang-Ping; Hu, Anyi] Chinese Acad Sci, Inst Urban Environm, CAS Key Lab Urban Pollutant Convers, Xiamen 361021, Peoples R China; [Gad, Mahmoud; Cao, Meixian; Qin, Dan; Sun, Qian; Hu, Anyi] Chinese Acad Sci, Inst Urban Environm, Fujian Key Lab Watershed Ecol, Xiamen 361021, Peoples R China; [Gad, Mahmoud] Natl Res Ctr, Water Pollut Res Dept, Giza 12622, Egypt; [Cao, Meixian; Hu, Anyi] Univ Chinese Acad Sci, Beijing 100049, Peoples R China; [Hu, Anyi] Chinese Acad Sci, Inst Urban Environm, CAS Key Lab Urban Pollutant Convers, Xiamen 361021, Peoples R China								0							Environmental Sciences	WOS:001124403100001		
J	Das, Sarita Kumari; Srinivasan, Nagesh Talagunda; Sarang, Niranjan; Das, Sudhir Kumar; Jawahar, Abraham Thangapalam; Canciyal, Johnson; Panda, Kamalesh								Effect of environmental drivers of fish assemblage and diversity patterns in temporal scale in Mongra Reservoir: A case study from one of the tributaries of Mahanadi Basin, Central India								ECOHYDROLOGY				16	8						10.1002/eco.2599			DEC 2023	2023	Influence of seasonal variations in environmental parameters on fish assemblage and species diversity patterns was studied in a tropical reservoir of Central India during March 2021 to February 2022. A total of 41 species belonging to 7 orders, 15 families and 29 genera were recorded with highest diversity during post-monsoon season compared to the pre-monsoon season and monsoon season. The fish abundance similarity between the monsoon and post-monsoon reached a maximum of 89%. Seasonal variations in the mean species abundance, Simpson dominance index, Shannon diversity index, Pielou's evenness index and Margalef's richness index were determined. One-way ANOVA revealed a significant difference (P < 0.05) at the temporal scale. There was a significant seasonal difference in species abundance (P = 0.0006) and evenness index (P = 0.02) among the diversity indices. During the study period, three 'vulnerable' species, three 'near threatened' species and two 'endangered' species were caught. Carnivore dominance was evident throughout the year in the trophic guild of fishes. The Pearson correlation test revealed that water pH, dissolved oxygen, sediment organic carbon and clay percentage were positively correlated to all four diversity indices. Simpson and Margalef species richness diversity indices were positively correlated to sediment pH. Fish abundance was positively associated with sediment pH, silt, phosphorus and nitrogen content. Canonical correspondence analysis was used to investigate the relationships between fish assemblages and environmental conditions. Among the 19 physicochemical parameters, nine (dissolved oxygen, total dissolved solids, conductivity, transparency, hardness, phosphate and chlorophyll-a, sediment nitrogen and phosphorus) characteristics were shown to be statistically significant (P < 0.05) in determining fish diversity. Dissolved oxygen, total dissolved solids, conductivity, transparency, hardness, phosphate and chlorophyll-a of water and sediment nitrogen and phosphorus qualities were the key factors for the species abundance. The reservoir boasts a diverse fish population that allows multi-species fishing and generates revenue for numerous local fishers. Fish habitats should be protected in order to maintain diversity and long-term ecological benefits.		[Das, Sarita Kumari; Srinivasan, Nagesh Talagunda; Das, Sudhir Kumar] West Bengal Univ Anim & Fishery Sci, Fac Fishery, Dept Fisheries Resource Management, Kolkata 700037, India; [Sarang, Niranjan; Panda, Kamalesh] DSVC Kamdhenu Vishwavidyalaya, Coll Fisheries, Durg, Chhattisgarh, India; [Jawahar, Abraham Thangapalam] West Bengal Univ Anim & Fishery Sci, Fac Fishery, Dept Aquat Anim Hlth, Kolkata, India; [Canciyal, Johnson] ICAR Cent Inland Fisheries Res Inst, Kolkata 700120, India; [Das, Sarita Kumari] West Bengal Univ Anim & Fishery Sci, Fac Fishery, Dept Fisheries Resource Management, Kolkata 700037, India								0							Ecology; Environmental Sciences; Water Resources	WOS:001103554900001		
J	Imran, Uzma; Ullah, Asmat; Mahar, Rasool Bux; Shaikh, Kaleemullah; Khokhar, Waheed Ali; Weidhaas, Jennifer								An integrated approach for evaluating freshwater ecosystems under the influence of high salinity: a case study of Manchar Lake in Pakistan								ENVIRONMENTAL MONITORING AND ASSESSMENT				195	11					1340	10.1007/s10661-023-11917-z			NOV 2023	2023	Manchar Lake, Pakistan's biggest lake in the arid zone, faces human-induced salinity issues. This study investigated its effects on the multifaceted ecosystem services, including serving as a source of drinking and irrigation water and aquatic health through assessing fish diversity and characteristics. Analyses of 189 water samples from 21 sites revealed spatiotemporal variations in major ions contributing to lake water salinity. The study assessed water suitability for drinking and agriculture using the water quality index (WQI), sodium adsorption ratio (SAR), magnesium hazard (MH), sodium percent (Na%), and Kelly's ratio (KR). The WQI, ranging from 141 to 408, indicated that the lake water was unfit for drinking. In some seasons, such as the pre-monsoon period, the lake water was deemed unsuitable for irrigation due to high SAR values (18 +/- 4 g/L, average +/- standard deviation), consistently rising MH values exceeding 66 in all seasons and elevated sodium percentages surpassing 66% in both the pre-monsoon and monsoon seasons. The KR remained acceptable (averaging 0.8 to 2.5) in all seasons. Fish health in highly saline conditions was assessed using data from interviews, focus group discussions, and fish sampling (1684 fish from 10 sites). Results depicted that high salt contamination severely impacted fish length and weight. The study found low richness (Simpson's biodiversity: 0.697 and Shannon Weaver: 1.51) and evenness (Pielou's index: 0.48) among the fish populations. Since 1998, Manchar Lake has seen a decline in fish varieties from 32 to 23, with changes in fish species' feeding habits. To improve lake water quality, the study recommends diverting saline water to the sea before and after the monsoon season while utilizing freshwater from alternative sources to fill any water deficit.		[Imran, Uzma; Ullah, Asmat; Mahar, Rasool Bux; Khokhar, Waheed Ali] Mehran Univ Engn & Technol, US Pakistan Ctr Adv Studies Water, Jamshoro 76062, Sindh, Pakistan; [Shaikh, Kaleemullah] Balochistan Univ Informat Technol Engn & Managemen, Fac Engn, Quetta, Balochistan, Pakistan; [Weidhaas, Jennifer] Univ Utah, Dept Civil & Environm Engn, 201 Presidents Circle,Room 201, Salt Lake City, UT 84112 USA; [Imran, Uzma] Mehran Univ Engn & Technol, US Pakistan Ctr Adv Studies Water, Jamshoro 76062, Sindh, Pakistan								0							Environmental Sciences	WOS:001100117700005		
J	Li, Shengnan; Li, Zhanxin; Peng, Hua; Yu, Li; Wang, Min; Shen, Zhongyuan; Gu, Qianhong								Distinct bacterial communities associated with photosynthetic picoeukaryotes in Lake Dongting throughout the seasonal cycle as revealed by flow cytometry sorting								AQUATIC MICROBIAL ECOLOGY				89				157	168		10.3354/ame02004			OCT 26 2023	2023	Associations and interactions between bacteria and phytoplankton are prevalent in aquatic systems. However, the coexistence of bacteria with the smallest phytoplankton groups is mostly unknown. Here, the associated bacteria (AB) of photosynthetic picoeukaryotes (PPEs) in the Yangtze-connected Lake Dongting were studied using flow cytometry sorting combined with high-throughput sequencing of the 16S rRNA gene throughout the seasonal cycle. Bacteria in the corresponding whole water (WWB) were also investigated for comparison. Our results revealed a distinct bacterial community of AB compared to WWB. The taxonomic and phylogenetic diversity indices, as well as the richness, of AB were significantly lower than those of WWB; however, AB showed higher Pielou's evenness. Proteobacteria (53.8%) was the most abundant phylum in AB, whereas Actinobacteria was predominant in WWB (36.0%). Several abundant clades, including Flavobacterium, Pseudomonas, Rheinheimera, Novosphingobium, and Sphingomonas, were significantly enriched in AB. Functional prediction analysis identified 116 KEGG pathways differing significantly between AB and WWB. Particularly, functional properties involved in cellular processes (mainly bacterial chemotaxis), environmental information processing, organismal systems and xenobiotics biodegradation and metabolism were greatly enriched in AB. Total nitrogen, temperature and chlorophyll a correlated significantly with the community dissimilarity between AB and WWB. Our results shed new light on the bacterial diversity and function associated with the smallest phytoplankton.		[Li, Shengnan; Li, Zhanxin; Wang, Min; Shen, Zhongyuan; Gu, Qianhong] Hunan Normal Univ, Coll Life Sciences, State Key Lab Dev Biol Freshwater Fish, Changsha 410081, Peoples R China; [Peng, Hua] Hunan Acad Agr Sci, Hunan Inst Agroenvironm & Ecol, Changsha 410125, Peoples R China; [Yu, Li] Anhui Jianzhu Univ, Sch Environm & Energy Engn, Hefei 230601, Peoples R China; [Yu, Li] Anhui Prov Key Lab Environm Pollut Control & Reso, Hefei 23060, Peoples R China; [Gu, Qianhong] Hunan Normal Univ, Coll Life Sciences, State Key Lab Dev Biol Freshwater Fish, Changsha 410081, Peoples R China								0							Ecology; Marine & Freshwater Biology; Microbiology	WOS:001115975600001		
