PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Guiasu, RC; Guiasu, S				Guiasu, RC; Guiasu, S			Conditional and weighted measures of ecological diversity	INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS												Shannon's entropy and Simpson's index are the most used measures of species diversity. As the Simpson index proves to be just an approximation of the Shannon entropy, conditional Simpson indices of diversity and a global measure of interdependence among species axe introduced, similar to those used in the corresponding entropic formalism from information theory. Also, since both the Shannon entropy and the Simpson index depend only on the number and relative abundance of the respective species in a given ecosystem, the paper generalizes these indices of diversity to the case when a numerical weight is attached to each species. Such a weight could reflect supplementary information about the absolute abundance, the economic significance, or the conservation value of the species.																			0218-4885	1793-6411				JUN	2003	11	3					283	300		10.1142/S0218488503002089	http://dx.doi.org/10.1142/S0218488503002089													WOS:000184308200002
C	Marisa, H		Baby, S; Sandhu, PS; Hang, Y		Marisa, Hanifa			On Perfection Of SIMPSON FLORAL DIVERSITY INDEX By Using IMPORTANCE VALUE Data	PROCEEDINGS OF 2010 INTERNATIONAL CONFERENCE ON ENVIRONMENTAL SCIENCE AND DEVELOPMENT					2010 International Conference on Environmental Science and Development	FEB 26-28, 2010	Singapore, SINGAPORE	IACSIT, Environm Sci Soc				Most of floral diversity analysis use Shannon index for determining diversity of species in community. These index use individual proportion number of species for diversity index result. For one place analysis of diversity, it is not sufficient to descript the level of diversity, because of no range of diversity level. In order to get more perfect result, it is proposed to use Simpson diversity index as published in Krebs (1985); because the formula gave 0 - 1 range index, where the highest diversity represented by 1. And on perfection of these formula, it is proposed to use importance value data, alternatively for species proportion. Importance value represent the dominance of species ecologically, because it come from species existence frequency, species individual number,and species coverage on land. We could call these formula as Simpson and Marisa index of diversity for vegetation.																					978-1-84626-024-7				2010							189	192																WOS:000284085300036
J	Solomou, AD; Sfougaris, AI; Kalburtji, KL; Nanos, GD				Solomou, Alexandra D.; Sfougaris, Athanassios I.; Kalburtji, Kyriaki L.; Nanos, George D.			Effects of Organic Farming on Winter Plant Composition, Cover and Diversity in Olive Grove Ecosystems in Central Greece	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS												The present study aimed to assess the effects of organic farming in comparison with conventional on plant composition, plant cover (%), diversity [species richness, Shannon, Simpson, and evenness (Pielou's) indexes] and investigate and describe the relations among plant species richness, plant cover, indexes, and soil parameters (pH and temperature) in olive grove ecosystems during the winter. Organic olive groves had significantly greater values of cover, species richness, and Shannon and Simpson indexes than the conventional ones. Plant species richness was positively correlated to plant cover and Shannon and Simpson indexes but negatively correlated to evenness index for both farming system. Finally, plant cover was positively correlated to the Shannon and Simpson indexes for both farming systems. According to principal component analysis (PCA), for axis 1, positive correlation was detected among the plant species richness, soil temperature, and Shannon and Simpson diversity indexes, whereas for axis 2, negative correlation was detected between plant cover and soil pH. It can be concluded that the organic management system enhances herbaceous plant cover and diversity (species richness, Shannon and Simpson indexes) in olive grove ecosystems during the winter.					Solomou, Alexandra/C-1428-2018; KALBURTJI, KIRIAKI/ABC-8774-2020	KALBURTJI, KIRIAKI/0000-0002-9633-8449; KIATIKIDIS, NIKOLAOS/0000-0002-8534-5010; SOLOMOU, Dr. ALEXANDRA/0000-0002-0014-1909													0010-3624					JAN 1	2013	44	1-4			SI		312	319		10.1080/00103624.2013.741914	http://dx.doi.org/10.1080/00103624.2013.741914													WOS:000322303100030
J	Abdullah, F; Sina, I; Sabri, MSM				Abdullah, Fauziah; Sina, Ibnu; Sabri, Mohd Shukri Mohd			Diversity of beetles (Coleoptera) at Gunung Benom, Pahang, Malaysia	ASIA LIFE SCIENCES												This paper records the diversity and abundance of beetle fauna at Gunung Benom, Pahang. Field sampling was conducted from 10-17 November 2009 at three sites namely Lata Bujang A (trail to Sungai Besar), Lata Bujang B (trail to Perlok), and Kongsi China. The beetles were sampled using six light traps, six Malaise traps and 75 pitfall traps. Three hundred forty eight beetle specimens comprising 113 species from 34 families were collected from all three sites. Lata Bujang A had the most abundant (Margalef index, 11.031) and speciose (Simpson diversity index, 0.963; Shannon-Weaver index, 3.523) beetle fauna, whereas Kongsi China had the least abundant (Margalef index, 8.296) and least diverse (Simpson diversity index, 0.891; Shannon-Weaver index, 2.902) fauna.The most abundant and speciose beetle family caught was the leaf beetle Chrysomelidae (Simpson diversity index, 0.971; Shannon-Weaver index, 2.507). Gunung Benom showed high abundance and diverse (Margalef index, 19.138; Simpson diversity index, 0.939; Shannon-Weaver index, 3.728) beetle fauna being an undisturbed and well preserved forest.					ABDULLAH, FAUZIAH/B-3109-2010; SINA, IBNU/AAB-5134-2021; SINA, IBNU/AAG-1180-2021	SINA, IBNU/0000-0003-3215-7689; SINA, IBNU/0000-0003-3215-7689													0117-3375					JAN-JUN	2012	21	1					265	285																WOS:000296311200020
J	Izsák, J; Papp, L				Izsak, Janos; Papp, Laszlo			Application of the quadratic entropy indices for diversity studies of drosophilid assemblages	ENVIRONMENTAL AND ECOLOGICAL STATISTICS												Most diversity indices widely used in ecology (e. g. the Shannon-Wiener index and the Gini-Simpson index) do not reflect taxonomic or other differences among species. Quadratic entropy, proposed by C. R. Rao (1982), takes these differences into account. The aim of this paper is to demonstrate the application of this diversity index in investigations of drosophilid species diversity. Quadratic entropy and Simpson index values are also compared. The elements of the difference matrix in the quadratic form are taxonomic differences (distances) among the species. The difference is defined by the position of the lowest-ranking taxon containing both species. According to the results, the Gini-Simpson index and the taxonomic quadratic entropy are positively correlated. The observed differences are due to the fact that assemblages with greater taxonomic distances produce greater quadratic entropy. Drosophilid species can be assigned to specific life habit classes, more specifically to resource types. After postulating differences between the types, we used the quadratic entropy measure to analyse resource diversity. These kinds of examinations approximate to an operative association of species diversity and environmental diversity.																			1352-8505	1573-3009				SEP	1995	2	3					213	221		10.1007/BF00456668	http://dx.doi.org/10.1007/BF00456668													WOS:000208905800005
J	Mosler, K				Mosler, K.			Multidimensional indices and orders of diversity	COMMUNITY ECOLOGY												This paper presents several indices to describe multivariate diversity and evenness. Multivariate generalizations of the Gini-Simpson index and the Rosenbluth index are proposed to measure diversity. A multivariate Gini ratio is also presented to measure evenness. These indices extend the usual univariate measures; they reflect not only the diversity of marginal distributions but also the dependence structure of abundance. The indices fulfill desirable measurement properties and are consistent with certain orderings of multivariate distributions. An order of concentration surfaces and a majorization order are also surveyed shortly.																			1585-8553	1588-2756				JUN	2001	2	2					137	143		10.1556/ComEc.2.2001.2.1	http://dx.doi.org/10.1556/ComEc.2.2001.2.1													WOS:000558874400001
J	Rousseau, R				Rousseau, Ronald			The repeat rate: from Hirschman to Stirling	SCIENTOMETRICS												In this short note we recall the history and definition of the repeat rate, also known as the Hirschman-Herfindahl index or as the Simpson index, and show that its generalization to a measure that includes disparity between items, known as the Rao-Stirling index, or a monotone transformation of it, is an acceptable diversity measure which, however, does not meet the 'monotonicity of balance' requirement.																			0138-9130	1588-2861				JUL	2018	116	1					645	653		10.1007/s11192-018-2724-8	http://dx.doi.org/10.1007/s11192-018-2724-8													WOS:000438126800032
J	Rybanov, AA; Aleksandrovna, ML				Rybanov, Alexander Aleksandrovich; Aleksandrovna, Makushkina Lidiya			Data Types Diversity Quantitative Indicators in Relational Databases Physical Models	TEM JOURNAL-TECHNOLOGY EDUCATION MANAGEMENT INFORMATICS												The article compares diversity indices applicability used in ecology to assess data types distribution for physical database schemes. The following dominance measures are used to assess the data type's diversity in the physical database scheme: Simpson's diversity index, Shannon diversity index, Simpson's evenness index, Pielu evenness index. A comparative analysis of the data type's diversity indicators for physical database schemes showed that the values of some indices obey certain rules. It is proposed to use diversity indices for physical database schemes' qualitative assessment. The indices considered in this work can also be used to build new models for assessing database complexity.					Rybanov, Alexander Aleksandrovich/J-4794-2012	Rybanov, Alexander Aleksandrovich/0000-0002-8638-9998													2217-8309	2217-8333				AUG	2020	9	3					862	867		10.18421/TEM93-04	http://dx.doi.org/10.18421/TEM93-04													WOS:000565865300004
C	Gomar, DA; Nieto, MHG		Tiezzi, E; Brebbia, CA; Jorgensen, SE; Gomar, DA		Gomar, DA; Nieto, MHG			Several results of Simpson diversity indices and exploratory data analysis in the Pielou model	ECOSYSTEMS AND SUSTAINABLE DEVELOPMENT V	WIT Transactions on Ecology and the Environment				5th International Conference on Ecosystems and Sustainable Development	MAY 03-05, 2005	Cadiz, SPAIN	Wessex Inst Technol, Univ Cadiz, Univ Siena				The Pielou model is a model of the abundance of species in a habitat. In this paper, we apply Simpson diversity indices to the Pielou model and obtain a result that may be useful for testing the goodness of fit of the Pielou model. To obtain our results, we describe the broken stick model as a probability distribution and we present some results from exploratory data analysis of this model. The inequalities we present are useful in ecological studies that apply the Pielou model.					Almorza, David/D-4091-2018	Almorza, David/0000-0002-2004-2799													1743-3541		1-84564-013-6				2005	81						145	154																WOS:000230620300016
J	Guiasu, RC; Guiasu, S				Guiasu, Radu Cornel; Guiasu, Silviu			NEW MEASURES FOR COMPARING THE SPECIES DIVERSITY FOUND IN TWO OR MORE HABITATS	INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS												Both the weighted entropy, which generalized the Shannon entropy, and the weighted quadratic index, which generalizes the Gini-Simpson index, are used for getting a unified treatment of some diversity measures proposed recently in ecology. The weights may reflect the ecological importance, rarity, or economic value of the species from a given habitat. The weighted measures, being concave functions, may be used in the additive partition of diversity. The weighted quadratic index has a special advantage over the weighted entropy because its maximum value has a simple analytical formula which allows us to introduce a normed measure of dissimilarity between habitats. A special case of weighted quadratic index is the Rich-Gini-Simpson index which, unlike the Shannon entropy and the classic Gini-Simpson index, behaves well when the number of species is very large. The weighted entropy and the weighted quadratic index may also be used to measure the global diversity among the subsets of species, based on the phylogenetic distance between species, is obtained as a particular case and is generalized to measure the diversity among the triads of species as well.																			0218-4885	1793-6411				DEC	2010	18	6					691	720		10.1142/S0218488510006763	http://dx.doi.org/10.1142/S0218488510006763													WOS:000284614000002
